PID,street,city,state
M1ND-7YH,N FOURTH ST,ARLINGTON,VA
LRRR-LWN,LOCUST ST,SAN FRANCISCO,CA
M4SY-BR6,BROADWAY,NEW YORK,NY
LYFT-ZKF,LINCOLN ST,NEW ROCHELLE,NY
L13J-3TH,GO N BAGHAM HILL RD,NORTH GRAFTON,MA
GSCP-DHJ,SHAKESPEAR DRIVE,SAN MARINO,CA
LYKG-KQH,LUCAS POINT,OLD GREENWICH,CT
GM11-XVF,DOUBLET HILL ROAD,WESTON,MA
L2C2-391,CLEVIDEN RD,CLEVELAND,OH
GS8Q-Y5F,MONTGOMERY ROAD,ELLICOTT,MD
LY5Q-V96,N MAIN ST,RANDOLPH,MA
KNY2-FS6,RADNOR RD,BETHESDA,MD
LTWT-R8J,BROAD ST,SALEM,MA
GS86-B64,S CHERRY ST,WINSTONSALEM,NC
LTJ8-S69,CASITAS ROAD,CARPINTERIA,CA
LBTZ-6K4,LAPRAIX ST,HIGHLAND,CA
GSD3-9Z2,VINE ST,GARDINER,ME
KFGB-7RF,FAIRVIEW AVE,WINNETKA,IL
GSDC-2S1,GROVELAND,WAYZATA,MN
GS6T-3J6,FELTON STREET,PEABODY,MA
LRHQ-6N5,BAY ST,WICKFORD,RI
GS6K-W14,HIGHLAND ST,DEDHAM,MA
LVDP-Z2G,,DEDHAM,MA
L2CG-2XZ,FIFTH AVE,NEW YORK,NY
LYZ5-38Q,RD BOX,LANCASTER,PA
GS6T-G9X,CASTLE ROCK ST,DORCHESTER,MA
GS6K-RKC,ST JOHNS UNIVERSITY,COLLEGEVILLE,MN
L6G1-W7X,THE HOMESTEAD,GENESEO,NY
GSXJ-1BV,W TH ST,LOS ANGELES,CA
LB78-HLZ,ELM STREET,CONCORD,MA
GS6Y-RS5,FOREST RD,WAYNE,PA
GSF7-VXG,WEST ST,LEOMINSTER,MA
GSFQ-QGW,PARKWAY DRIVE,ROSLYN HEIGHTS,NY
LQRQ-KQN,LARCHMERE BLVD,SHAKER HEIGHTS,OH
LBVQ-VBC,SECOND AVE,SALT LAKE CITY,UT
GSFD-4NZ,,NORTHFIELD,MA
GSN6-3ZR,GIRARD ST NE,WASHINGTON,DC
GSF8-ST3,DIVISION ST,AMSTERDAM,NY
GM3S-D9X,E FIRST ST,LONG BEACH,CA
GSFZ-ZP2,PO BOX,VISALIA,CA
KWDK-5BP,N MAIN ST,SHARON,MA
LTZ3-H1Z,MAIN ST,STONEHARN,MA
LB5Q-R5W,HEMENWAY ST,BOSTON,MA
LDF8-TSP,N ST NW,WASHINGTON,DC
GSNR-XL9,RIVER ST,WEST NEWTON,MA
LVHJ-ND6,HEWLETT NECK RD,WOODMERE,NY
LKQR-QQC,FEARING RD,HINGHAM,MA
GSVZ-PXC,ST FIFTH AVE,NEW YORK,NY
LVQT-H8C,DOUGLAS RD COCONUT GROVE,MIAMI,FL
LDTB-CHP,PECKSLAND ROAD,GREENWICH,CT
GSXY-J19,CRESRMONE RD,BINGHAMRON,NY
LKCH-TFB,MAIN ST,GLASTONBURY,CT
G99B-6WX,WOOD LANE,WOODMERE,NY
L27F-8N2,,DIABLO HEIGHTS,
GS6N-TBL,STADELMAN AVE,AKRON,OH
LY8V-N3N,W BROADWAY,NEW YORK,NY
MZQX-K6H,MASON  AVE,JOLIET,IL
L2VY-H6L,,ELLSWORTH,ME
GS82-VY4,BURROUGHS ST,PLYMOUTH,MI
GSVR-3MB,BLACK OAK DRIVE,MINNEAPOLIS,MN
GSXT-RRV,WHITE SE,GROTON,CT
GSC2-96B,W THIRD ST,LOS ANGELES,CA
GSN5-1P7,KAYWOOD DRIVE,MT RAINIER,MD
L1FX-VV5,S JEFFERSON AVE,SIOUX FALLS,SD
GSZ7-NL5,PATTON PL,TUSCALOOSA,AL
LB2H-X22,E TH ST,NEW YORK,NY
