PID,street,city,state
LRTW-P4Y,DIVINITY AVE,CAMBRIDGE,MA
GSCR-ZTG,COMMONWEALTH AVE,BOSTON,MA
GSCT-4CH,BROADWAY,NEW YORK,NY
GSCT-RGL,,,
GSCR-H92,E HANOVER ST,TRENTON,NJ
MK42-59Q,,BOSTON,MA
L2H5-B9G,MELCHOR,OCAMPO,MEXICO
GSZ3-QC1,ARLINGTON FIVE CENTS SAVINGS BANK,ARLINGTON,MA
MWTW-7X7,PARK ST,BOSTON,MA
GS8D-HKP,AMERICAN RETAIL FEDERATION  K ST,WASHINGTON,DC
L268-DFX,G CENTRAL ST,LOWELL,MA
L81J-9NJ,,,
LR88-5QS,SMITH COLLEGE,NORTHAMPTON,MA
LDTH-NMH,DEPT OF HISTORY VANDERBILT UNIVERSITY,NASHVILLE,TN
L1QV-NZZ,US VETERANS ADMINISTRATION HOSPITAL DAVIS PARK,PROVIDENCE,RI
GS8Q-RS6,SUN CHEMICAL CORP,LONG ISLAND,NY
KZJG-BLJ,HOUGHTON LIBRARY,CAMBRIDGE,MA
LVCJ-9KL,BELL TELEPHONE LABORATORIES INC  WEST ST,NEW YORK,NY
GS83-K6F,DWORET CO  PONCE DE LEON AVE NE,ATLANTA,GA
GS84-LLD,STATE ST,BOSTON,MA
LH1Z-YCC,MCCULLOUGH STRAIN  CO  E COLORADO ST,PASADENA,CA
LHS7-PW9,CO HUNNEWELL  CO  FEDERAL ST,BOSTON,MA
GS87-CXJ,BEACON ST,BOSTON,MA
GS8D-JQK,THANHARDTBURGER CORP,LA PORTE,IN
LT66-GJ3,ELECTRIC BOND  SHARE CO  RECTOR ST,NEW YORK,NY
GS8H-F99,W TH ST,NEW YORK,NY
L19N-MP9,FEDERAL RESERVE BANK OF BOSTON  PEARL ST,BOSTON,MA
L5R5-M16,ALLENBRADLEY CO  W GREENFIELD AVE,MILWAUKEE,WI
GS83-ZZK,HARTFORD INSTITUTE OF ACCOUNTING  FORD ST,HARTFORD,CT
GS87-7NB,,,
GS8H-VYK,TAMALPAIS UNION HIGH SCHOOL,MILL VALLEY,CA
L51Q-ZB8,MELROSE HIGH SCHOOL,MELROSE,MA
LYSG-74L,CONGREGATION BETHE ZEDECK  RUCKLE ST,INDIANAPOLIS,IN
KNXG-PH2,ELDON PRODUCTS INC  E ST,NEW YORK,NY
GS8L-DH4,,,
LTHK-G7N,US PUBLIC HEALTH SERVICE,BETHESDA,MD
LF75-M1V,HEYWOOD BENEDICT  HURRY  WALL ST,NEW YORK,NY
G9NB-77C,NAVAL LIAISON WITH TH AIR FORCE,KUNMING,CHINA
LZDJ-ZTZ,COURIER JOURNAL AND TIMES,LOUISVILLE,KY
GMLT-CS6,,TSINGTAO,CHINA
GS68-32B,COFFEY ST,BROOKLYN,NY
LDZN-H85,QUAKER OATS CO,CEDAR RAPIDS,IA
LY9N-6VS,AIR TRAINING DEPT FORT SILL OKLA BORN APRIL   NEW YORK N Y,FORT SILL,OK
L61H-CSS,ARMA CORP  TH ST,BROOKLYN,NY
GMLF-XH5,FURNO AND HARRISON  MADISON AVE,NEW YORK,NY
9KBY-8ZQ,HOWARD ST,SKOKIE,IL
LRV5-Z3K,STATE ST,BOSTON,MA
GSWR-LZL,ENDICOTT SC,DANVERS,MA
LV1L-WZX,S MAIN ST,FALL RIVER,MA
LYFK-4ZV,BRYN MAWR COLLEGE,BRYN MAWR,PA
GS66-2WG,STATE ST,BOSTON,MA
LDS1-DM6,JOHN HANCOCK MUTUAL LIFE INSURANCE CO,BOSTON,MA
G9JW-MFG,THE BERG COLLECTION NEW YORK PUBLIC LIBRARY  FIFTH  AVE,NEW YORK,NY
9HFX-XHD,MESILLA ST NE,ALBUQUERQUE,NM
2YYL-3JQ,EMMET MARVIN  MARTIN  WALL ST,NEW YORK,NY
GS8G-7TD,ROOM   ROCKEFELLER PLAZA,NEW YORK,NY
GSF7-328,WILLISTON ACADEMY,EASTHAMPTON,MA
LRWL-637,JAMES LAWRENCE  CO  BATTERYMARCH ST,BOSTON,MA
GSXB-VS3,HURWITCH BROS ZO NEWBURY ST,BOSTON,MA
GSFQ-6N3,E D ST,NEW YORK,NY
LZYL-CKK,,,
GSFZ-LVJ,WESTVILLE AVENUE EXT,DANBURY,CT
L51H-4B4,THE ADJUTANT GENERAL US ARMY PENTAGON,WASHINGTON,DC
L67Q-Q37,WEST INDIA SALES LTD  BATTERY PL,NEW YORK,NY
GSFD-M5G,HOSPITAL SPECIALTY CO  E TH ST,CLEVELAND,OH
LXS2-QHD,,,
LB72-1QC,LINCOLN ROCHESTER TRUST CO  MAIN ST,ROCHESTER,NY
9KPN-V4M,BROWNING LABORATORIES,WINCHESTER,MA
GSJD-XLB,SMITH  SANDERSON ATTORNEYS  STATE NATIONAL BANK BLDG,TEXARKANA,AR
LRL1-KMQ,VANDERBILT UNIVERSITY,NASHVILLE,TN
LK6M-ZVD,PEOPLES UNION BANK BLDG,MCKEESPORT,PA
L5LF-X23,JONES  LAMSON MACHINE CO,SPRINGFIELD,VT
