PID,code,social,honorary_or_political,obs15,professional,professional,gent_club,country_club,frat_order,hereditary,undergrad_club
GSCT-75J,32,1,0,1.0,0,0,0,1,0,0,0
GSCT-75J,87,1,0,1.0,0,0,0,0,0,0,0
G9Z7-J3F,27,1,0,1.0,0,0,0,0,1,0,0
G9Z7-J3F,44,1,0,1.0,0,0,0,0,0,0,0
G9Z7-J3F,87,1,0,1.0,0,0,0,0,0,0,0
G9Z7-J3F,168,0,0,1.0,1,0,0,0,0,0,0
G9Z7-J3F,177,1,0,1.0,0,0,0,0,0,0,0
G9Z7-J3F,289,1,0,1.0,0,0,0,0,1,0,0
G9Z7-J3F,329,1,0,1.0,0,0,0,0,0,0,1
GSCR-J7B,27,1,0,1.0,0,0,0,0,1,0,0
LB6G-8Z3,9,0,0,1.0,1,0,0,0,0,0,0
LB6G-8Z3,175,0,0,1.0,1,0,0,0,0,0,0
LB6G-8Z3,232,1,0,1.0,0,0,0,1,0,0,0
LB6G-8Z3,338,1,0,1.0,0,0,0,0,0,0,1
LWB9-4MW,85,1,0,1.0,0,0,0,1,0,0,0
GM59-TFR,45,1,0,1.0,0,0,0,0,0,0,0
GM59-TFR,87,1,0,1.0,0,0,0,0,0,0,0
GM59-TFR,169,1,0,1.0,0,0,0,1,0,0,0
GM59-TFR,194,0,0,1.0,1,0,0,0,0,0,0
GSCK-LGJ,51,1,0,1.0,0,0,0,0,0,0,1
GSCK-LGJ,193,0,0,1.0,1,0,0,0,0,0,0
LLW3-F97,32,1,0,1.0,0,0,0,1,0,0,0
LLW3-F97,33,1,0,1.0,0,0,1,0,0,0,0
LLW3-F97,46,1,0,1.0,0,0,0,0,0,0,0
LLW3-F97,87,1,0,1.0,0,0,0,0,0,0,0
LLW3-F97,169,1,0,1.0,0,0,0,1,0,0,0
LLW3-F97,232,1,0,1.0,0,0,0,1,0,0,0
GSCT-9WS,46,1,0,1.0,0,0,0,0,0,0,0
GSCT-9WS,87,1,0,1.0,0,0,0,0,0,0,0
LYBR-CXH,87,1,0,1.0,0,0,0,0,0,0,0
LKXB-N41,32,1,0,1.0,0,0,0,1,0,0,0
LKXB-N41,46,1,0,1.0,0,0,0,0,0,0,0
LKXB-N41,71,1,0,1.0,0,0,1,0,0,0,0
LKXB-N41,79,1,0,1.0,0,0,0,1,0,0,0
LKXB-N41,87,1,0,1.0,0,0,0,0,0,0,0
LKXB-N41,169,1,0,1.0,0,0,0,1,0,0,0
LKXB-N41,189,0,0,1.0,0,1,0,0,0,0,0
L6PQ-WY4,49,1,0,1.0,0,0,0,0,0,0,0
L6PQ-WY4,87,1,0,1.0,0,0,0,0,0,0,0
L6PQ-WY4,164,1,0,1.0,0,0,0,0,1,0,0
L6PQ-WY4,216,1,0,1.0,0,0,0,0,0,1,0
LY9M-XX6,169,1,0,1.0,0,0,0,1,0,0,0
LY9M-XX6,176,1,0,1.0,0,0,0,1,0,0,0
LY9M-XX6,201,1,0,1.0,0,0,0,0,0,0,0
GSCK-357,56,1,0,1.0,0,0,1,0,0,0,0
GSCK-357,169,1,0,1.0,0,0,0,1,0,0,0
GSCK-357,190,0,0,1.0,1,0,0,0,0,0,0
GMN9-LY7,16,0,0,1.0,0,1,0,0,0,0,0
GMN9-LY7,168,0,0,1.0,1,0,0,0,0,0,0
GMN9-LY7,169,1,0,1.0,0,0,0,1,0,0,0
GMN9-LY7,172,1,0,1.0,0,0,0,0,0,0,0
GMN9-LY7,195,0,0,1.0,1,0,0,0,0,0,0
GMN9-LY7,208,1,1,1.0,0,0,0,0,0,0,0
LRKB-Z1X,93,0,0,1.0,1,0,0,0,0,0,0
LRKB-Z1X,175,0,0,1.0,1,0,0,0,0,0,0
LRKB-Z1X,189,0,0,1.0,0,1,0,0,0,0,0
LZT1-N93,12,0,0,1.0,1,0,0,0,0,0,0
LZT1-N93,183,1,0,1.0,0,0,1,0,0,0,0
LZT1-N93,191,0,0,1.0,1,0,0,0,0,0,0
LZT1-N93,201,1,0,1.0,0,0,0,0,0,0,0
GSC2-QWF,46,1,0,1.0,0,0,0,0,0,0,0
GSC2-QWF,80,1,0,1.0,0,0,0,1,0,0,0
GSC2-QWF,85,1,0,1.0,0,0,0,1,0,0,0
GSC2-QWF,87,1,0,1.0,0,0,0,0,0,0,0
GSC2-QWF,169,1,0,1.0,0,0,0,1,0,0,0
GSCT-V89,63,0,0,1.0,1,0,0,0,0,0,0
LJRG-1QN,59,1,0,1.0,0,0,0,0,1,0,0
LJRG-1QN,186,0,0,1.0,1,0,0,0,0,0,0
LB3G-YNR,46,1,0,1.0,0,0,0,0,0,0,0
LB3G-YNR,64,0,0,1.0,1,0,0,0,0,0,0
LB3G-YNR,87,1,0,1.0,0,0,0,0,0,0,0
LB3G-YNR,196,0,0,1.0,1,0,0,0,0,0,0
27N9-WCF,16,0,0,1.0,0,1,0,0,0,0,0
27N9-WCF,177,1,0,1.0,0,0,0,0,0,0,0
27N9-WCF,194,0,0,1.0,1,0,0,0,0,0,0
27N9-WCF,212,0,0,1.0,0,0,0,0,0,0,0
GSCY-GFK,32,1,0,1.0,0,0,0,1,0,0,0
GSCY-GFK,116,1,0,1.0,0,0,0,1,0,0,0
KLCD-QNK,84,1,0,1.0,0,0,0,1,0,0,0
KLCD-QNK,169,1,0,1.0,0,0,0,1,0,0,0
KLCD-QNK,248,0,0,1.0,1,0,0,0,0,0,0
GSCY-9JP,5,0,0,1.0,1,0,0,0,0,0,0
GSCY-9JP,168,0,0,1.0,1,0,0,0,0,0,0
GSCY-9JP,176,1,0,1.0,0,0,0,1,0,0,0
LZJ5-K8K,194,0,0,1.0,1,0,0,0,0,0,0
L63D-WJ4,46,1,0,1.0,0,0,0,0,0,0,0
L63D-WJ4,78,1,0,1.0,0,0,1,0,0,0,0
L63D-WJ4,87,1,0,1.0,0,0,0,0,0,0,0
GSCR-NFS,142,1,0,1.0,0,0,0,0,1,0,0
GSCR-NFS,188,1,0,1.0,0,0,0,0,0,0,0
GSCT-3PQ,46,1,0,1.0,0,0,0,0,0,0,0
GSCT-3PQ,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-3PQ,188,1,0,1.0,0,0,0,0,0,0,0
GMG8-QZW,49,1,0,1.0,0,0,0,0,0,0,0
GMG8-QZW,87,1,0,1.0,0,0,0,0,0,0,0
GSCY-7LB,313,1,0,1.0,0,0,0,0,0,0,0
LVZK-9R9,3,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,14,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,55,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,193,0,0,1.0,1,0,0,0,0,0,0
GSCT-J8P,58,1,0,1.0,0,0,0,0,1,0,0
LHH8-YQ3,32,1,0,1.0,0,0,0,1,0,0,0
LHH8-YQ3,46,1,0,1.0,0,0,0,0,0,0,0
LHH8-YQ3,87,1,0,1.0,0,0,0,0,0,0,0
LHH8-YQ3,169,1,0,1.0,0,0,0,1,0,0,0
LVY3-MZR,73,1,0,1.0,0,0,0,0,1,0,0
LVY3-MZR,87,1,0,1.0,0,0,0,0,0,0,0
L6FX-K41,188,1,0,1.0,0,0,0,0,0,0,0
L6FX-K41,191,0,0,1.0,1,0,0,0,0,0,0
LRBW-G5L,32,1,0,1.0,0,0,0,1,0,0,0
LRBW-G5L,76,1,0,1.0,0,0,1,0,0,0,0
LRBW-G5L,79,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,31,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,32,1,0,1.0,0,0,0,1,0,0,0
