PID,rank
GSC2-BSB,10
KLZ6-Z7S,390
LH6K-T1L,40
LVX8-ZYS,221
L13K-6DR,16
K2P1-PYM,106
GSCT-5MD,16
G9G2-DC2,116
GSCT-H5F,1
LD19-FLJ,44
LV7M-4TF,111
GSCT-4CH,106
GSCB-W76,1
GSCT-L4S,443
MYX3-2XW,282
L1WR-K56,16
GSCY-Y8X,40
LRXQ-9ZK,186
GSCT-MYY,68
LVHC-ZDB,6
GSCT-B8L,55
9H5R-LWS,116
LVXT-YRV,483
GSZ3-X17,61
GSZS-TH3,212
L1B2-XVP,61
L2H5-B9G,19
GSZZ-B98,88
L2V9-1ZM,55
KC2V-YTT,225
GSZZ-FSF,147
L46B-YJ6,43
LT7J-C3D,145
LJRY-CFG,79
MPT4-R7G,27
LTGR-YFM,15
G9QN-WL6,325
LV86-9S5,4
GS75-9LP,325
LTKS-JZJ,106
L2PN-LYS,406
GSWT-3MS,178
GS83-6P5,325
LRWY-WQM,265
LJL1-MLH,10
LQBV-TM4,194
GS83-4KF,80
9KG7-5P7,27
GS84-8BR,91
LXD4-RZ8,10
KG39-35G,380
L2NH-Q48,111
LYJ2-5ZD,27
GS83-Z1J,108
L1R1-KGG,189
GS84-H3Q,24
LR2R-CYY,106
GS8W-3YS,31
LN4V-DLL,12
LB5V-3BF,330
L5BR-QQ8,258
LQTV-TT9,28
LBP5-8FX,6
LRTZ-9RH,15
GS84-849,409
L5VF-BTW,54
LBQN-TBP,452
L1F5-T1F,10
L5R5-M16,380
LVG7-5KZ,27
K2RN-4Z4,161
LYGQ-4CN,141
GS8L-L6H,4
LX7M-2RN,106
GS82-NC9,209
LRCJ-77H,104
GS8F-WKQ,19
LDY7-CNX,34
LVH5-Y23,498
LYXN-TP8,24
GS82-62G,51
KCY9-N8D,340
LB2N-LC9,106
GS82-NVJ,43
GS8G-SKM,10
L8RH-ZP6,390
G9PX-TZY,78
L83T-7WC,407
LMWT-SXB,306
LTH3-4SC,106
LYB2-S12,15
G9QV-LXQ,147
LZ2F-QGV,15
GMNK-7H8,73
GS8K-VX6,234
LZB9-K95,10
GS8L-VJS,225
L5LF-G74,279
LV8F-RX8,148
L12W-LR2,15
LBZ2-5PY,229
LRHZ-JXK,141
LJD1-DW6,67
L5P3-3Y7,499
GS8L-MQP,363
GS8X-86M,147
GS8F-KRX,466
GS8V-18H,80
LZ8R-D3T,194
LVJH-58C,443
L2CR-7CZ,307
LCJV-ZNC,467
GS64-HFN,182
LVW9-WDJ,117
LZ19-8S6,15
LHXC-NQD,111
GSD3-FMR,354
GSD3-8WK,35
LZV2-MJD,178
GS47-NRD,46
GSDB-DM3,398
L257-F8N,229
L7TB-XQ1,300
G9YQ-41K,116
LYKS-QWZ,61
LBKN-SZM,16
LRG8-RPV,15
GSDC-DCQ,124
LHKT-KND,106
M249-F1B,178
9XTY-R26,229
LLHB-69X,229
GSDY-BQC,377
GSD3-6GD,210
GSDY-B3N,137
GSHC-5S8,362
L5V5-9JD,43
L6J5-PGF,1
GM7F-657,4
LDZN-H85,113
GSD5-1P1,108
GS6R-YP4,15
GS6T-LRS,258
LR9W-DC6,16
LRLD-BG7,144
GMPG-RN5,4
LYJG-PSY,79
G976-WSJ,8
GS6K-J5R,87
GS6N-CNR,392
LK3G-6TF,28
LY12-QNR,178
GM9V-NYP,15
LDZR-8G6,106
L6VH-BMG,34
GS6T-MGD,418
L5Y4-SYT,46
LCF9-1GP,139
GMPD-BZP,229
GS6X-WZV,105
L2LY-MVY,106
LX3S-MGX,4
KH9V-975,212
9KXP-VMQ,137
G92M-JJX,4
LBSJ-P8Z,103
GS6V-BRN,161
GS6K-5L5,141
LVC2-JML,386
GS62-FSC,198
LKLJ-38X,16
GS73-TRM,367
G96B-TMV,483
LBJ9-GBX,137
LB7Z-S63,106
LYZ5-38Q,144
LRTS-Y3T,401
GSC6-K9D,4
L178-8WR,4
L1J9-KHS,106
LRJR-TZH,54
GSS6-Z52,137
LB7L-P64,106
GM2X-BW6,30
LY9T-Y4P,466
LBG1-4HP,52
GS6L-22D,106
LB8B-6L9,116
MP54-CXX,106
LHQ8-J98,89
LLQB-ZV8,91
GSXL-KDQ,390
LT2D-QC3,106
GSX2-PKX,69
GSXV-W5W,4
LY23-K62,242
GS6T-X12,401
KP9J-FGY,145
GSXK-5M7,106
LYKL-HDP,134
L137-K2F,6
LB78-WX7,498
LRHJ-CCB,364
LK13-4GR,133
LVCF-LX6,81
LJLH-RRB,43
GS6Y-N3W,4
L279-753,259
GS6Y-RS5,429
GS6Y-R7N,34
LB8R-FTX,440
LHTP-CYY,107
LZX4-8LD,68
GS6Y-RRW,4
L2FX-9W1,486
GSFQ-9Y9,471
LYJ5-XMC,36
GSFQ-HJS,27
KDWC-P5S,106
GSF7-K5R,106
LJ8N-G3J,466
GSXY-C7W,112
L8QR-S39,1
GSXY-LQJ,130
LYS7-LYS,384
G9TL-F79,133
KN65-WW9,274
L5DB-R4N,97
GSX1-PTN,21
GSF7-JH2,10
LTJF-KCM,203
LHLL-D6H,10
GSFQ-LNW,282
GSXB-K82,6
GSXY-SQK,27
LYGH-WRY,68
GSXB-43Q,44
GSQ1-2W8,104
GSXB-7QG,124
LRLF-CX3,4
GSF8-S5H,111
LJR2-55J,10
LDH2-BX1,106
LZN9-LK4,178
GSNC-6H8,116
GSFZ-LVJ,59
LLWH-P6G,178
GSFX-C79,106
97FK-BQ3,330
L1HY-M6V,330
LT3K-VZ3,9
LT1J-3SM,429
LKSF-BFC,10
L1L2-PL5,106
GSFN-1VS,117
LR84-H45,4
GSNJ-L3M,8
GSZ6-WRK,178
GSFZ-1WP,15
LTLH-345,117
GSNZ-XLV,87
LVY3-DM1,34
GSF6-8M3,390
GSF8-3P3,43
GSF8-LGQ,4
GSN8-CV1,66
GSN8-VYY,12
LR37-LLM,136
LVY9-RJC,106
GSNJ-LM8,66
GMVF-FYD,194
GSNZ-J41,4
GSFW-RKN,106
GSFZ-LK4,178
K817-M4N,33
GSFN-1QY,78
GSFV-NGM,43
LLC3-9GJ,171
G9L2-83H,330
GSN8-4Z1,157
LYJ4-DSK,106
LVGJ-YWS,7
KLM8-ZVS,106
LDPX-GKF,78
L694-8NP,89
LV5J-ZB7,306
LX3V-B5X,61
GSFV-8VT,106
GSFK-DQG,178
LR51-KDK,178
M2YK-4X2,306
GSFZ-R8F,4
GSFJ-ZPD,270
GSFJ-YJ2,24
G9F2-D9Z,106
GSNK-FX2,8
GM5Z-9VG,144
LBVG-RVF,69
GSJQ-ZH2,24
L196-NDP,106
LYDC-1KW,279
LBXH-BW1,330
LVD9-F53,1
MVGF-WN2,117
LV78-D7N,4
GSJD-64S,344
GSNK-LYN,31
LYZW-XKW,119
GSVR-1TH,12
GSNB-MSS,34
GSJZ-G7G,43
GSJW-995,50
GSJ6-V2X,117
GSJQ-R2R,80
LVKC-CVW,31
L1XD-95J,4
LDQY-KN4,25
GSJD-Y7R,78
LYLL-GTB,106
GSJX-PZH,106
GSJ7-YB2,169
GSJW-CSW,279
L5DZ-PC1,4
GSJ8-5WN,236
GSJ6-Y5S,26
GSJ6-M7P,106
GSJS-GZR,4
L583-MFQ,1
GSN2-883,417
GSJD-KFL,66
LK56-MFB,43
GSJ6-G8R,27
LRGW-GLJ,10
GSJ8-4RW,4
GSJ7-DXQ,181
GSJD-PWY,31
GSVJ-S3F,325
GSJL-ST8,67
GSVT-3YM,78
GSFG-H3Q,9
LR65-BQ8,306
LRPM-C66,483
GSVJ-Z9B,106
GSV5-1D8,306
LY93-7RZ,116
G984-W8H,195
GSVR-DGR,4
L8YB-PW2,106
LV8J-4T7,183
GSVC-4NW,494
LRLQ-3Y9,138
GMG9-9Z1,466
LR1P-QPN,183
GSVV-5M5,470
GSVX-M6M,116
GSVJ-XLX,4
GSVJ-8VK,330
LBQV-ZGQ,106
GSVJ-TL9,106
LTQ9-YFS,9
GSVJ-HJV,132
LR7L-KSR,178
LB9F-S9M,116
GSVV-NHB,116
LYNQ-JFN,61
GSVV-1TQ,452
GSXL-4T5,194
LB16-WH2,106
LV68-K24,165
GSV2-GRQ,229
GSVK-WDG,44
LDL8-K5Q,104
GSSB-G29,12
LKM9-XCV,10
LTH2-FDF,274
L6JT-JPY,65
LJPK-PDG,194
LY8D-VVH,116
GSVC-N22,494
GSVC-FPX,115
GSV2-8ZC,229
L5ZW-KM3,368
L8DL-F8N,106
LL9J-838,106
L1VL-ZNJ,212
MWMM-F7Z,36
MWMM-F7Z,97
MWMM-F7Z,253
KN81-RY2,8
G33G-9PW,66
GSLW-2D9,466
LXHC-L84,466
G37F-BW6,194
MM2L-VFY,136
GSLC-VXR,4
GSGF-QQH,106
LB13-VCM,499
G93Y-HD4,6
LVFM-MF1,178
GS2G-PQL,87
LTQ9-R8K,83
GSLW-G3B,186
L2CZ-3D2,399
GSLS-MBK,202
L6FZ-T89,334
LT1S-NZH,4
L1L9-G4Y,346
KJ49-7VP,106
L2W4-6FV,8
L22H-DXW,229
LV8S-ZWD,390
G98C-GPN,51
GS2D-4ZP,24
GSKZ-55R,171
LZV3-PQ7,397
GSLH-V8G,274
GS2D-MXY,208
G33T-MQ7,41
L1PB-K2F,229
GS2X-XDT,129
G9ZN-99R,4
L2LF-RZZ,147
G3QD-BZW,118
G9SY-DHW,245
L1Z7-699,466
K41R-GSZ,380
LBVX-7D6,391
LR8C-KHN,106
LDTW-VPP,27
GS2Y-86M,20
L122-Y6C,106
LD1M-KV2,229
GMZ9-KLV,117
K8SQ-8JR,33
