PID,family_id
LLW3-F97,0
LLWQ-R9J,0
LY9M-XX6,1
LY9M-C28,1
LT1K-D7M,2
LT1K-K61,2
GSC2-QWF,3
GSC2-41H,3
LB3G-YNR,4
LB3G-R1C,4
27N9-WCF,5
KNBR-24Z,5
GSC2-F5R,6
GSZ3-2RS,6
GSXT-Y43,6
GSCT-3PQ,7
L5CY-FLL,7
L465-62K,8
GSCY-N43,8
99MN-VVX,9
LV9G-JT8,9
27XN-P95,10
LYXG-HKJ,10
9CX5-LL4,11
LX7M-2RN,11
LV2R-2V7,12
GSC2-PJL,12
GSCK-1WZ,13
G9CQ-3HK,13
L6PV-VCD,14
L6PV-K93,14
LBW1-VSG,15
LBW1-KQN,15
GMFL-3D6,16
LB4D-JNK,16
LLCH-C93,17
LLCH-WX1,17
LKG3-2KV,18
LKG3-2TC,18
L87J-TBK,19
L5YP-733,19
LZT5-HLD,20
G931-8LY,20
LRM6-KPC,21
LRM6-28H,21
GSCT-BK1,22
LYMF-3TD,22
LTLP-F9F,23
GSCT-4SL,23
GSC2-V9K,24
GSC2-WKL,24
L77R-H9J,25
G92X-WZV,25
LTXY-H64,26
LVCQ-TM7,26
LB45-R3F,26
L2LF-VZ7,26
GSCT-MD7,27
GSDS-ZYX,27
LRCP-XBG,28
LRCX-Z9Q,28
GSCY-J61,29
K2R6-Y9Y,29
LY76-9VB,30
LY76-5SD,30
L18K-NK1,31
LTF5-FCR,31
LH7Y-LKW,32
LH7Y-L2V,32
KFPZ-2CP,32
LH7Y-LRT,32
LBL7-H95,33
L1M3-21K,33
KLDN-HGH,34
9KGQ-CWD,34
K4DP-MJL,35
LTTB-8C7,35
L7Z5-5CG,36
LVH5-Y23,36
GSCG-1C7,37
GSCP-DHJ,37
9MGL-DQP,38
LVZ2-9BY,38
GSCT-DGS,39
GS82-76C,39
GS6L-M5W,39
GSC1-N69,40
GSJ6-DQ8,40
GSCT-Y4F,41
GSVK-M36,41
LZP6-NWM,42
MXH8-284,42
LJL5-5MN,43
LH5D-98C,43
L13K-6DR,44
LRNJ-3R9,44
GSC2-782,31
MGY4-LZC,45
MGYZ-ZF1,45
KFR4-7ZL,46
K8ZB-644,46
GSCK-FH1,10
L74G-89P,47
LYL3-8YN,47
9KDP-N1H,48
LT2D-Y6Y,48
L89P-SSK,49
LVND-FYT,49
GSCR-4LQ,50
