PID,harvard_brother,harvard_father
218J-MCB,1,0
245X-G5X,1,1
26KN-GXZ,1,0
26L8-B7W,1,0
26L8-D71,1,0
26PS-PYW,1,0
2743-3C8,1,1
27DT-WD4,1,1
27JG-RJW,0,1
27N9-WCF,1,0
27NR-7X7,1,0
27XN-P95,1,1
27XV-5C6,1,0
299N-TH8,1,0
29H4-JF5,0,1
2D6G-DJZ,1,1
2GG8-3NB,1,0
2H2J-H3P,1,1
2HG8-V2V,1,0
2HGZ-31M,1,1
2HPD-LGF,1,0
2HPX-BDW,1,0
2J3Y-QCJ,1,1
2MR5-L4C,1,1
2SH9-TJS,1,0
2SX7-CR2,1,1
2WD6-Q6G,1,1
2WD6-QD3,1,1
2WNH-ZZW,1,0
2X9W-3L3,1,0
2YYL-3JQ,0,1
2Z8Q-3KW,1,0
2Z9F-ZBJ,1,0
93L1-7QG,0,1
945P-NQK,1,0
94DK-NY1,1,0
94TR-MYP,1,0
94YY-43W,1,0
964M-V34,0,1
99MN-VVX,1,0
99MZ-9HS,1,1
9CSN-FML,0,1
9CX5-LL4,1,1
9D4Q-ZH7,1,0
9D4Q-ZHQ,1,0
9DXH-7V8,1,0
9DZZ-W93,1,0
9F37-DH3,1,0
9F37-KMH,1,0
9F97-GZY,0,1
9FM9-Q3F,1,0
9FY8-CD1,1,0
9FY8-CZW,1,0
9H55-69R,1,1
9H5R-LWS,0,1
9H8Q-5FD,1,1
9HFX-XHD,0,1
9HH5-MPZ,0,1
9HHV-2ZB,1,0
9HHV-2ZD,1,0
9HKV-LJL,1,0
9HKV-LVM,1,0
9HLY-ZGQ,1,0
9HLY-ZLB,1,0
9HRF-HD9,1,1
9HSL-P5H,1,0
9HXL-QX4,1,1
9HXL-QXF,1,1
9J7N-ZYW,1,0
9JVY-6ZW,0,1
9JWJ-PR5,1,0
9K4H-8LC,0,1
9K68-GRL,1,0
9K6C-3MX,1,0
9KBT-3N3,1,0
9KBT-3NQ,1,0
9KDN-BFS,1,0
9KDP-N1H,1,0
9KFN-3DQ,1,1
9KFN-4ZF,1,0
9KFN-MBD,1,0
9KFZ-Q1W,1,0
9KG5-T1F,1,0
9KGG-N3P,1,0
9KGQ-CWD,1,0
9KGV-LM9,1,0
9KL5-3NQ,0,1
9KLR-3RF,1,0
9KM8-3HR,1,0
9KPN-V49,1,0
9KPN-V4M,1,1
9KXP-VMM,1,1
9KXP-VMQ,1,1
9MGL-DQP,1,0
9MHL-MDF,0,1
9ML3-43P,1,1
9MSY-CDK,1,0
9N54-4GY,1,0
9N73-25C,1,0
9N73-25Z,1,0
9NHR-FHP,0,1
9NT5-YFF,1,0
9NTM-T7M,0,1
9Q8N-GP8,1,0
9QWT-JX8,0,1
9QXR-G7S,1,0
9S6G-6QP,1,0
9SMD-R4Y,1,1
9V4S-7NR,1,0
9V94-2BD,1,0
9V9T-DTB,1,0
9VG2-K2P,1,1
9VGW-PG4,0,1
9VH8-HRJ,1,1
9VHB-GHH,0,1
9VHL-NN2,1,0
9VHS-WX8,1,0
9VJD-QHY,1,0
9VPM-43V,0,1
9VQZ-ZTS,1,0
9VS8-ZRP,0,1
9VSL-PHT,1,1
9WF1-MZ1,0,1
9WHY-PNZ,1,0
9WPD-4LZ,1,0
9WPD-RFB,1,0
9WPD-RFF,1,0
9WY8-HXJ,1,0
9WZM-B4C,0,1
9X1Q-WGX,1,1
9XCW-NVM,1,0
9XCW-NVQ,1,0
9XJJ-PLS,1,0
9XPB-S7B,1,0
9XVK-W13,1,0
9XVK-W1S,1,0
9XYR-V6T,1,0
9ZXQ-5Q7,1,1
G332-4DB,1,0
G332-9WV,1,0
G332-S4W,1,0
G33G-9PW,1,0
G33K-SLS,1,0
G33K-X9Q,1,0
G33L-BNS,1,0
G33L-CG7,1,0
G33R-5TM,1,0
G33R-6C8,1,0
G33R-F4Z,1,0
G33R-GK9,1,0
G33R-ZLN,1,0
G33T-LSH,1,0
G33T-MBH,1,0
G33T-MJW,1,0
G33T-MNG,1,0
G33T-QPL,1,0
G33T-SC2,1,0
G33T-XT2,1,0
G33V-6VG,1,0
G33V-VB9,1,1
G33Y-6BK,1,0
G33Y-971,1,0
G33Y-WC2,1,0
G341-7KZ,1,0
G341-WRV,1,0
G342-6L7,1,0
G342-LQC,1,0
G346-3QC,1,0
G346-47W,1,0
G346-8WC,1,0
G346-Z7D,1,0
G34B-2MS,1,0
G34B-4YP,1,0
G34B-72B,1,0
G34B-FCS,1,0
G34B-PNH,1,0
G34B-WYH,1,0
G34D-1TX,1,0
G34D-QPL,1,0
G34D-TMC,1,0
G34D-XSZ,1,0
G34D-ZQ2,1,0
G34K-3KM,1,0
G34K-89Y,1,0
G34K-FVZ,1,0
G34K-HS3,1,0
G34K-PJT,1,0
G34K-YQJ,1,0
G34L-4T7,1,0
G34L-Q49,1,0
G34L-SP2,1,0
G34V-16N,1,0
G34V-GRL,1,0
G34V-KR2,1,0
G34V-TV1,1,0
G34X-4WW,1,0
G34X-7M9,1,0
G34X-8BN,1,0
G34X-92B,1,0
G34X-CPY,1,0
G34X-MMH,1,0
G34X-YJM,1,0
G34X-ZY4,1,0
G376-BYK,1,0
G376-LNT,1,0
G37F-315,1,0
G37F-79Z,1,0
G37F-BW6,1,1
G37F-QX8,1,0
G37F-S59,1,0
G37G-KXH,1,0
G37K-7YZ,1,0
G37K-HVN,1,0
G37K-M4Q,1,0
G37K-Q6J,1,0
G37R-1J4,1,0
G37R-2ZL,1,0
G37R-3P2,0,1
G37R-9JT,1,0
G37R-CJ2,1,0
G37R-T1P,1,0
G37R-VFN,1,0
G37R-W73,1,0
G37R-X98,1,0
G37R-Z6P,1,0
