PID,category code,subcategory code
21RP-G87,0,1
21RP-G87,0,2
21RP-G87,2,1
21RP-G87,6,6
276G-293,1,1
276L-VMS,2,1
27DT-WD4,3,2
27DT-WD4,5,1
27F4-CBN,2,1
27F4-CBN,16,1
27FC-G3H,13,1
27FD-KQY,0,1
27FD-KQY,3,2
27FD-KQY,3,3
27FD-KQY,8,1
27FM-D46,3,1
27FM-D46,3,2
27FN-9PR,2,1
27N9-WCF,1,2
27SP-5CY,4,1
27XN-P95,0,1
27XN-P95,1,1
27XN-P95,2,1
284H-GRP,0,2
284H-GRP,5,1
284H-GRP,11,1
2993-C2N,8,3
299N-TH8,0,2
2D6L-ZGP,4,1
2M98-99L,2,1
93FV-8BP,0,2
93FV-8BP,3,2
94DK-NY1,1,2
99GL-2CT,6,4
99GL-2CT,9,1
99MN-VVX,3,1
99MZ-7L7,0,1
99MZ-7L7,1,1
9CSN-FML,3,6
9CSN-FML,9,1
9CX5-LL4,6,1
9CX5-LL4,7,1
9CX5-LL4,8,2
9CXG-QPN,1,3
9CXG-QPN,12,1
9F89-3CD,4,1
9H5F-G3J,4,1
9HRF-HD9,9,1
9JH5-NZP,6,2
9JMG-XBR,4,1
9JMG-XBR,7,1
9KFN-4ZF,10,1
9KG5-T1F,2,1
9KJ6-ZYT,0,2
9KZ5-L8L,8,1
9MGL-DQP,6,1
9MGL-DQP,6,9
9MGL-DQP,13,2
9NSS-TFC,2,1
9QQ1-PS8,4,1
9QQ1-PS8,6,2
9QQ1-PS8,6,4
9QWT-JX8,0,2
9QWT-JX8,1,1
9QWT-JX8,8,2
9V9T-672,7,1
9VGC-38M,9,1
9VS8-ZRK,4,1
9ZMT-JJM,4,1
9ZZF-Z49,10,1
G95C-ZBX,2,1
G96R-V5B,8,2
G97W-KY2,1,6
G9B8-NLK,3,6
G9B8-NLK,5,1
G9B8-NLK,13,3
G9CH-T1Z,1,4
G9CH-T1Z,3,2
G9G2-DC2,0,2
G9G2-DC2,3,1
G9G7-TS1,0,1
G9G7-TS1,1,1
G9G7-TS1,1,2
G9QL-DNJ,3,3
G9QL-DNJ,6,1
G9QL-DNJ,6,9
G9V9-D8T,1,3
G9V9-D8T,3,5
G9VG-8HL,6,9
G9VG-8HL,7,1
G9WK-JF6,9,1
G9Z7-J3F,2,1
GM21-D15,14,2
GM23-JB1,0,2
GM23-JB1,1,4
GM2G-D8V,0,1
GM2G-D8V,0,2
GM2G-D8V,4,1
GM2Z-VZY,1,1
GM3Q-R77,14,1
GM59-TFR,0,1
GM59-TFR,1,1
GM5H-PGM,3,6
GM5S-6BT,4,1
GM5S-6BT,6,1
GM5S-6BT,6,9
GM5S-6BT,7,1
GM6Q-HGP,4,3
GMCM-MM2,5,1
GMFC-D1P,7,1
GMFH-3MF,0,1
GMFH-3MF,0,2
GMFL-3D6,0,1
GMFL-3D6,1,6
GMG8-QZW,6,6
GMG8-QZW,10,1
GMMW-VL1,3,2
GMN9-LY7,1,5
GMN9-LY7,2,1
GMR3-JTR,4,1
GMS6-8P8,8,2
GMS6-8P8,8,3
GMSP-2D4,3,1
GMT8-WDF,1,1
GMT8-WDF,3,2
GMXL-J61,4,1
GMYH-PMK,0,1
GMYH-PMK,3,2
GMYH-PMK,3,3
GMYH-PMK,9,1
GS48-112,2,1
GSC1-11Y,13,1
GSC1-27L,10,1
GSC1-27L,16,1
GSC1-2WR,1,5
GSC1-2WR,1,6
GSC1-6HX,0,2
GSC1-6HX,10,1
GSC1-DW3,6,3
GSC1-DW3,11,1
GSC1-DXF,3,6
GSC1-DXF,5,1
GSC1-G88,5,1
GSC1-G88,12,1
GSC1-GSK,2,1
GSC1-GSK,9,1
GSC1-KBJ,2,1
GSC1-N69,5,1
GSC1-QFV,0,1
GSC1-QFV,3,1
GSC1-QFV,6,2
GSC1-QFV,7,1
GSC1-VD3,6,6
GSC1-VD3,6,7
GSC1-XKG,2,1
GSC1-Y8L,0,2
GSC1-Y8L,8,2
GSC2-3FQ,13,3
GSC2-49N,3,1
GSC2-4WC,2,1
GSC2-628,13,3
GSC2-782,0,1
GSC2-782,3,3
GSC2-8SC,2,1
GSC2-96B,1,1
GSC2-BSB,0,2
GSC2-F5R,8,1
GSC2-F5R,8,3
GSC2-F5R,13,3
GSC2-GQ2,2,1
GSC2-HB1,1,1
GSC2-HB1,1,3
GSC2-K77,12,2
GSC2-KCY,0,2
GSC2-KCY,6,2
GSC2-NR9,8,1
GSC2-NR9,8,2
GSC2-P9D,1,1
GSC2-P9D,1,5
GSC2-QR8,5,1
GSC2-QR8,13,3
GSC2-QWF,3,2
GSC2-T4T,1,6
GSC2-TCG,0,2
