PID,category code,subcategory code
GSCT-75J,0,1
GSCT-75J,0,2
GSCT-KJG,3,3
G9Z7-J3F,2,1
GSCR-J7B,15,1
MZ4H-XQF,1,5
MZ4H-XQF,1,6
GSCY-VSD,3,2
LB6G-8Z3,4,1
GSCK-NX5,1,5
LBGL-NRY,2,1
LWB9-4MW,8,2
GM59-TFR,0,1
GM59-TFR,1,1
GSCK-LGJ,5,1
LLW3-F97,2,1
GSCT-9WS,3,3
GSCT-9WS,11,1
LYBR-CXH,15,1
LKXB-N41,1,1
LKXB-N41,8,2
LKXB-N41,9,1
GSCB-71C,7,1
L6PQ-WY4,2,1
LXMT-CFB,11,1
284H-GRP,0,2
284H-GRP,5,1
284H-GRP,11,1
GMS6-8P8,8,2
GMS6-8P8,8,3
LY9M-XX6,1,5
LY9M-XX6,3,4
LY9M-XX6,3,6
LY9M-XX6,8,2
LY9M-XX6,9,1
LT1K-D7M,1,1
GSCK-357,9,1
GMN9-LY7,1,5
GMN9-LY7,2,1
LRKB-Z1X,4,3
GSCY-JYN,2,1
LZT1-N93,0,1
LZT1-N93,6,2
GSC2-QWF,3,2
GS48-112,2,1
GSCT-V89,6,1
GMFH-3MF,0,1
GMFH-3MF,0,2
K8GS-JD5,1,3
K8GS-JD5,1,4
K8GS-JD5,11,1
LB3G-YNR,1,3
GSCK-RWS,2,1
27N9-WCF,1,2
GSC2-F5R,8,1
GSC2-F5R,8,3
GSC2-F5R,13,3
L15V-XXP,1,6
GSZM-ZT1,1,3
GSC1-QFV,0,1
GSC1-QFV,3,1
GSC1-QFV,6,2
GSC1-QFV,7,1
L6F8-9MF,2,1
GSCY-GFK,2,1
KLCD-QNK,1,1
KLCD-QNK,1,2
GSC2-HB1,1,1
GSC2-HB1,1,3
MYMY-CJK,1,5
GSCY-9JP,2,1
LZJ5-K8K,1,2
GSCK-6PL,14,1
L63D-WJ4,1,1
GSCR-NFS,3,2
GSCT-3PQ,1,1
GSCT-3PQ,6,7
LD59-2Z5,1,3
LD59-2Z5,3,1
LD59-2Z5,8,1
LD59-2Z5,9,1
GMG8-QZW,6,6
GMG8-QZW,10,1
