PID,officesHeld,head_of_org,on_committee,gov_office
GSCT-75J,"Assistant city solicitor, City of Pittsburgh, 1930-34; director, Pittsburgh Wholesale Merchants Association, 1945-49.",1,0,0
GSCT-KJG,"Member Board of Governors, Children’s Home, Newark, ?. J., American Association of Advertising Agencies, New York Council, 1945-47; member, New Jersey State Chapter, National Conference of Christians and Jews; publicity committee, American Red Cross, New Jersey Chapter, 1946-48; chairman, Publishing and Advertising Group, Community Chest, New Jersey.",1,1,0
GSCR-J7B,"President, Jewish Religious Teachers’ Association of Maryland, Virginia, and the District of Columbia, 1932-33; vice-president and president, Maternal Health Clinic of Austin, 1939; chairman, Justice and Race Commission, Central Conference of American Rabbis, since 1948, Joint Commission on Social Action, Central Conference and 332 ]",1,0,0
LB6G-8Z3,"Member of board, Public Welfare Commission, 1935-493 past-president, Holyoke Medical Society and Hampden County Medi cal Society.",1,1,0
LWB9-4MW,"Vice-consul, Bombay, India, 1928-29; secretary of legation and chargé d'affaires, ad interim, Bangkok, Thailand, 1929-31; secretary of embassy, Paris, 1931-35, Rome, 1937-40; chargé d'affaires, ad interirn, Prague, 1934; secretary of legation, Vienna, 1935-37.",0,0,0
LLW3-F97,"Chairman of admissions committee, 1943—44, member of executive committee, 1944-48, Association of the Bar of the City of New York.",1,1,0
LKXB-N41,"Member, School Board, Bedford Hills, N. Y., 1935-40.",0,1,0
GMS6-8P8,"Awarded honorary membership, Order of the British Empire, 1947.",0,0,0
LY9M-XX6,"Member legal staff, St. Lawrence Power & Development Commission, 1930-31, Reconstruction Finance Corporation, in charge of low cost housing program, 1932-33; president, Shenandoah Valley Polled Shorthorn Breeders’ Association; director, Virginia Beef Cattle Producers’ Association; delegate, American Shorthorn Breeders’ Association, Democratic committeeman, Clarke County, Va.; associate editor, The Chronicle, Middleburg, Va.; vice-president and county chairman, Shenandoah Council, Red Cross Camp and Hospital Service.",1,0,0
GSCK-357,"Vice-president and director till 1940, Alfred M. Best Company, New York.",1,0,0
GMN9-LY7,"Director, Sixth Ave. Association, 1945-47; adjutant, City Athletic Club Post, American Legion, 1947-48; member, legislative committee, Real Estate Board of New York, 1947; member, Republican County Committee, County of New York, 1947-48; member, Housing Committee, New York County, American Legion, 1947-48.",1,1,0
GSC2-QWF,"Member, Committee on Comparative Literature, College Sec. tion, National Council of Teachers of English, since 1944.",0,0,0
LJRG-1QN,"Chairman, Republican Town Committee; president, Pascommuck Club.",1,0,0
GMFH-3MF,"Member, 1935-43, chairman, 1938-43, Board of Selectmen, Lexington, Mass.; county commissioner, Middlesex County, Mass., 1940-43; chairman, Republican State Committee, 1946-47; campaign manager for Governor Robert Bradford, 1948; president, Boston Stock ~ Exchange, 1942.",1,0,0
GSCK-RWS,"Regional attorney, New York State Labor Relations Board; April, 1945, to August, 1946.",0,0,0
27N9-WCF,"Teacher of government, Chelsea Evening High School, 1925-26; finance officer, Post No. 34, American Legion, Chelsea, 192948; delegate, 1930-34, auditor, 1932-33, Suffolk County Council, American Legion; delegate, American Legion Departmental Convention, 1930-32; chairman of committee, American Legion National Convention, Boston, 1930; treasurer, Chelsea Housing Authority, since 1948.",1,0,0
GSC2-F5R,"Assistant drama and music critic, Philadelphia Record, 1937-44; drama critic, Variety, since 1944.",0,0,0
GSC1-QFV,"President, 1947, director, 1943-49, Aeronautic Association of Boston; director and member of executive committee, National Acronautic Association, 1948-49; trustee and technical director, Acronautical Research Foundation, 1947-49; director, Sportsman Pilots Association, 1948; vice-president, National Association of State Aviation Orhcials, 1945; consultant, President’s Air Policy Commission, 1947; clerk, Carlisle, Mellick & Company, New York Stock Exchange, 1924-26, analyst and trader, Jas. H. Oliphant & Company, New York, N. Y, 1926-35; analyst and investment counsel, Lehman Brothers, New York, N. Y., 1935-40; analyst, Massachusetts Investors Trust, 1941-44; research fellow, 1946-48, assistant director of research, since 1948, Harvard Business School Faculty.",1,1,0
GSCY-GFK,"Member, Town Meeting, Brookline; director, Brookline Taxpayers’ Association, Brookline Town Forum.",1,0,0
KLCD-QNK,"Security analyst, First National Corporation, 1925-29; vicepresident, First of Boston Investment Management Corporation, 192930; assistant vice-president, 1930-41, vice-president, since 1941, chief of investment division, since 1946, director, since 1947, Old Colony Trust Company; trustee, Boston Five Cents Savings Bank, since 1942; consulrant to investment department, General Electric Company, since 1937; director, Boston Insurance Company; planning board, 1937-38, E finance committee, 1938-42, school committee, 1944-47, Town of Wes- ton; treasurer, First Parish Church in Weston, 1935-43, Weston Golf",1,1,0
GSC2-HB1,"Director, 1947, vice-president, 1948, president, 1949, Boston Food Brokers Association, .",1,0,0
GSCY-9JP,"Member, executive committee, Federal Communications Bar Association.",0,1,0
LZJ5-K8K,"Member Finance Committee, 7th Regiment Fund, treasurer, Associate Vestry of Church of the Heavenly Rest, The Dug Out, Inc.",0,0,0
GSCK-6PL,"President, Amron Construction Company, Inc. ",1,0,0
L63D-WJ4,"Managing editor, Youth's Companion, 1926-27; trustee, United States Trust Company of N. Y., since 1934; director, The Texas Company, 1936-44, American Telephone and Telegraph Company, 193941, Reynal and Hitchcock, 1933-39, Township Press, Nassau County, N. Y., 1933-35, Union Sulphur Company, since 1947; member of council, New York University, 1932-36; governor, New York Hospital, since 1931; vice-president and president, New York Hospital, and chairman, Joint Administrative Board, New York Hospital-Cornell Medical Center, 1936-39; president, Association for Improving the Condition of the Poor, 1934-39; co-organizer and first president, Community Service Society of New York, 1939-44; trustee, Milbank Memorial Fund, since 1934, Cooper Union for the Advancement of Science and Art, since 1935, Bayard Cutting Arboretum, since 1936, Rockefeller Institute for Medical Rescarch, since 1947; member, Board of Managers, Diagnostic Center, New Jerscy Department of Institutions and Agencies, since 1948.",1,1,0
GSCR-NFS,"President, Salem Hebrew Community Center, 1937-39, Congregation Sons of Jacob, Salem, 1945; secretary, Salem Jewish Charities, 1939-45; clerk, Salem Community Fund, 1946.",1,0,0
LD59-2Z5,"Teacher, Milton Academy, Milton, Mass. 1926-36, Dublin School, Dublin, N. H., 1944-45; treasurer, Yankee, Inc., since 1940; editor, Yankee, 1940-42, editor, Old Farmer’s Almamac, since 1945.",0,0,0
GMG8-QZW,"Director, Division of International Allocations (War Pro ‘duction Board), 1945-46; chief, Division of Foreign Trade Statistics, - 1939-43; associate director, Urban Study of Consumer Purchases, 1936 38. .",1,0,0
GSCY-7LB,"Director, Council of Social Agencies, Jacksonville, Community Chest, Jacksonville, Jacksonville Harvard Club; vice-president, Jewish Welfare Society, Jacksonville, chairman, advisory board, Salvation Army.",1,0,0
G95C-ZBX,"Assistant director of law, City of Toledo, 1940-46, chairman board of governors, .Jewish Federation of Toledo, 1940-43; member faculty, University of Toledo Law School, 1940-43, secretary, Gross Photo Supply Company, Meilink Steel Safe Company.",1,1,0
LHH8-YQ3,"Director, Border City Manufacturing Company; vestryman, Church of the Ascension, Fall River, Mass. 1925-30; member, Community Welfare Committee, Bronxville, 1943-44, Red Cross Committee, Bronxville, 1944-45.",1,0,0
