unitid,fice,pubst,pbalph,"system","status","instnm","addr","stabbr","zip","gentele","cnty","congdist","city","countynm","affil","calsys","hloffer",pr2yr,prlib,prtea,prprof,enrolmnt,geost,oereg,obereg,"race",control,type,sex,lgrnt,survey,ss_occup,sum2yr,sum4yr,sumpos,ss_other,es_occup,eve2yr,eve4yr,evepos,es_other,excntl,citysi,admreq,"estmoyr","fwrkmoyr","fdgrmoyr",prtfu,pbtfui,pbtfuo,prtfg,pbtfgi,pbtfgo,roomamt,boardamt,acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_nurs,acc_ort,acc_chem,regaccrd
"100654","1002","10","10","","5","ALABAMA A & M UNIVERSITY","","AL","35762","2058597011","089","","NORMAL","MADISON","12","1","07","0","1","1","0","5004330","10","3","5","1","1","2","3","1","1","0","1","1","0","0","0","1","1","0","0","1","3","2","051875","1875","1879","","560","840","","960","960","560","800","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","8"
"101189","1003","10","20","","5","ALABAMA CHRISTIAN COLLEGE","5345 ATLANTA HIGHWAY","AL","36109","2052725820","101","","MONTGOMERY","MONTGOMERY","56","1","03","1","0","0","0","4001289","10","3","5","E","2","3","3","0","1","0","0","0","0","0","0","0","0","0","0","3","2","2","1942","1942","1944","1650","","","","","","600","1130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101709","1004","10","610","","5","MONTEVALLO,UNIVERSITY OF","BOX 38","AL","35115","2056652521","117","","MONTEVALLO","SHELBY","12","1","07","0","1","1","1","5002812","10","3","5","5","1","2","3","0","1","0","0","1","0","0","0","0","1","0","0","1","4","2","101896","091910","051912","","734","1034","","786","1086","572","818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","8"
"100724","1005","10","40","","5","ALABAMA STATE UNIVERSITY","915 SOUTH JACKSON STREET","AL","36104","2058326072","101","","MONTGOMERY","MONTGOMERY","12","2","07","0","1","1","0","5004096","10","3","5","1","1","2","3","0","1","0","1","1","1","0","0","1","1","1","0","1","2","2","1874","1920","1931","","525","870","","585","915","405","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"100760","1007","10","50","","5","ALEXANDER CITY STATE JC","","AL","35010","2052346346","123","","ALEXANDER CITY","TALLAPOOSA","12","2","03","1","0","0","0","4001236","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","051963","091965","061967","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100812","1008","10","60","","5","ATHENS STATE COLLEGE","","AL","35611","2052321802","083","","ATHENS","LIMESTONE","12","2","04","0","1","1","0","4001204","10","3","5","5","1","2","3","0","1","0","0","1","0","0","0","0","1","0","0","1","3","4","1822","1843","1845","","720","1350","","","","450","825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100858","1009","10","90","A","6","AUBURN U MAIN CAMPUS","","AL","36830","2058264000","081","","AUBURN","LEE","12","2","08","0","1","1","1","7018329","10","3","5","5","1","1","3","1","1","0","0","1","1","0","0","0","1","1","0","1","1","3","1856","1859","1860","","720","1440","","720","720","570","930","1","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","1","","","","","","","","","","","1","1","","","1","1","","","","","1","","1","","","","","1","","","","","8"
"100937","1012","10","110","","5","BIRMINGHAM STHN COLLEGE","800 8TH AVENUE WEST","AL","35204","2053285250","073","","BIRMINGHAM","JEFFERSON","71","4","04","0","1","1","0","4001402","10","3","5","5","2","2","3","0","1","0","0","1","0","0","0","0","1","0","0","3","4","2","1856","1859","1861","2550","","","","","","500","975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"101514","1013","10","250","","5","JOHN C CALHOUN ST CC","P O 2216","AL","35602","2053533102","103","","DECATUR","LIMESTONE","12","2","03","1","0","0","0","6005283","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","051963","091965","061967","","300","600","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101143","1015","10","150","","5","ENTERPRISE ST JR COLLEGE","P O BOX 1300","AL","36331","2053472623","031","","ENTERPRISE","COFFEE","12","2","03","1","0","0","0","4001729","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","1963","1965","1966","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101879","1016","10","620","","5","NORTH ALABAMA,U OF","UNIVERSITY STATION","AL","35630","2057664100","077","","FLORENCE","LAUDERDALE","12","1","07","0","1","1","1","6005189","10","3","5","5","1","2","3","0","1","0","0","1","1","0","0","0","1","1","0","1","2","2","1872","1872","1875","","680","680","","720","720","560","814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","8"
"101240","1017","10","170","","5","GADSDEN STATE JR COLLEGE","GEORGE WALLACE DRIVE","AL","35903","2055460484","055","","GADSDEN","ETOWAH","12","2","03","1","0","0","0","5003538","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","2","2","051963","091965","061967","","300","300","","","","390","750","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101286","1018","10","180","","5","GEO C WALLACE ST CC-DOTHN","","AL","36303","2059833521","045","","DOTHAN","DALE","12","2","03","1","0","0","0","4001816","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","011949","091965","1967","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101435","1019","10","210","","5","HUNTINGDON COLLEGE","1500 EAST FAIRVIEW","AL","36106","2052650511","101","","MONTGOMERY","MONTGOMERY","71","1","04","0","1","1","0","3000687","10","3","5","5","2","2","3","0","1","0","1","1","0","0","0","1","1","0","0","3","2","2","021854","021856","1856","2250","","","","","","625","1175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
