unitid,fice,pubst,pbalph,"system","sequen","status","instnm","addr","city","stabbr","zip","gentele",cnty,congdist,"countynm",affil,calsys,hloffer,procc,pr2yr,prlib,prtea,prprof,geost,oereg,obereg,"race",control,type,iclevel,sex,lgrnt,"cncesc",sum2yr,sum4yr,sumpos,eve2yr,eve4yr,evepos,excntl,citysi,admreq,estmo,estyr,"fwrkmoyr","fdgrmoyr",prtfu,pbtfui,pbtfuo,prtfg,pbtfgi,pbtfgo,roomamt,boardamt,period,stcnty,acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_chem,acc_nurs,acc_ort,regaccrd
"100654","1002","10","10","","","5","ALABAMA A & M UNIVERSITY","P O BOX 285","NORMAL","AL","35762",".","","5","MADISON","12","1","7","1","0","1","1","0","10","3","5","1","1","2","1","3","1","B01","1","1","0","1","1","0","1","3","2","5","","000000","000000","0","880","1772","0","1550","1690","680","1030","7","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","8"
"101189","1003","10","20","","","5","ALABAMA CHRISTIAN COLLEGE","5345 ATLANTA HIGHWAY","MONTGOMERY","AL","36193",".","","2","MONTGOMERY","74","4","4","1","1","1","1","0","10","3","5","1","2","2","1","3","0","E01","1","1","0","1","1","0","3","3","2","","","000000","000000","3040","0","0","0","0","0","1000","1460","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101709","1004","10","620","","","5","UNIVERSITY OF MONTEVALLO","STATION 1","MONTEVALLO","AL","35115",".","","7","SHELBY","12","1","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","0","1","1","0","0","0","1","4","2","10","","090000","050000","0","1090","1790","0","1080","1800","760","1100","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","8"
"100724","1005","10","30","","","5","ALABAMA STATE UNIVERSITY","915 SOUTH JACKSON STREET","MONTGOMERY","AL","36195",".","","2","MONTGOMERY","12","2","7","0","0","1","1","0","10","3","5","1","1","2","1","3","0","B01","1","1","1","1","1","1","1","3","2","","","000000","000000","0","960","1920","0","975","1875","1640","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"100760","1007","10","40","","","5","ALEXANDER CITY STATE JC","P O BOX 699","ALEXANDER CY","AL","35010",".","","3","TALLAPOOSA","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","5","","090000","060000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100812","1008","10","50","","","5","ATHENS STATE COLLEGE","","ATHENS","AL","35611",".","","5","LIMESTONE","12","2","4","0","0","1","1","0","10","3","5","5","1","2","1","3","0","C01","0","1","0","0","1","0","1","3","4","","","000000","000000","0","1200","2400","0","0","0","525","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100858","1009","10","80","A","01","6","AUBURN UNIV MAIN CAMPUS","","AUBURN","AL","36849",".","","3","LEE","12","2","8","0","0","1","1","1","10","3","5","5","1","1","1","3","1","A02","0","1","1","0","1","1","1","1","3","","","000000","000000","0","1080","2490","0","1080","2490","1000","0","0","","1","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","1","","","","","","","","","","","1","1","","","1","1","","1","","","1","","1","","","1","","1","","","","","8"
"100937","1012","10","100","","","5","BIRMINGHAM STHN COLLEGE","800 8TH AVENUE WEST","BIRMINGHAM","AL","35254",".","","6","JEFFERSON","71","4","6","0","0","1","1","0","10","3","5","5","2","2","1","3","0","C01","0","1","1","0","1","1","3","4","2","","","000000","000000","5120","0","0","0","0","0","525","1585","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"101514","1013","10","250","","","5","JOHN C CALHOUN ST CC","P O 2216","DECATUR","AL","35602",".","","5","LIMESTONE","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","3","2","5","","090000","060000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","8"
"101143","1015","10","150","","","5","ENTERPRISE ST JR COLLEGE","P O BOX 1300","ENTERPRISE","AL","36331",".","","2","COFFEE","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","","","000000","000000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
