unitid,line,efrace15,efrace16,fteptr,fteptc
"100654","1","1485","1454","0","0"
"100654","2","361","425","0","0"
"100654","3","269","287","0","0"
"100654","4","308","283","0","0"
"100654","5","256","225","0","0"
"100654","6","291","234","0","0"
"100654","7","4","4","0","0"
"100654","8","4","4","0","0"
"100654","11","292","107","0","0"
"100654","12","21","12","0","0"
"100654","13","271","95","0","0"
"100654","14","1781","1565","0","0"
"100654","15","95","123","103","72"
"100654","16","12","29","15","14"
"100654","17","83","94","88","58"
"100654","21","27","55","38","27"
"100654","22","27","55","38","27"
"100654","25","235","340","288","190"
"100654","26","11","34","23","15"
"100654","27","224","306","265","175"
"100654","28","357","518","429","289"
"100654","29","2138","2083","0","0"
"101189","1","448","670","0","0"
"101189","2","89","198","0","0"
"101189","3","127","237","0","0"
"101189","4","178","189","0","0"
"101189","5","30","27","0","0"
"101189","6","24","19","0","0"
"101189","14","448","670","0","0"
"101189","15","98","181","121","92"
"101189","16","16","44","16","20"
"101189","17","82","137","105","72"
"101189","21","14","21","10","12"
"101189","22","14","21","10","12"
"101189","28","112","202","131","104"
"101189","29","560","872","0","0"
"101709","1","725","1285","0","0"
"101709","2","169","379","0","0"
"101709","3","129","158","0","0"
"101709","4","162","252","0","0"
"101709","5","127","240","0","0"
"101709","6","138","256","0","0"
"101709","7","13","18","0","0"
"101709","8","7","9","0","0"
"101709","9","6","9","0","0"
"101709","11","5","29","0","0"
"101709","12","2","17","0","0"
"101709","13","3","12","0","0"
"101709","14","743","1332","0","0"
"101709","15","77","123","113","66"
"101709","16","4","8","8","4"
"101709","17","73","115","105","62"
"101709","21","29","69","33","33"
"101709","22","15","35","15","17"
"101709","23","14","34","18","16"
"101709","25","47","149","58","65"
"101709","26","11","47","18","19"
"101709","27","36","102","40","46"
"101709","28","153","341","204","164"
"101709","29","896","1673","0","0"
"100724","1","1323","1561","0","0"
"100724","2","342","386","0","0"
"100724","3","273","283","0","0"
"100724","4","246","316","0","0"
"100724","5","238","293","0","0"
"100724","6","224","283","0","0"
"100724","7","73","68","0","0"
"100724","8","52","35","0","0"
"100724","9","21","33","0","0"
"100724","11","39","80","0","0"
"100724","12","10","11","0","0"
"100724","13","29","69","0","0"
"100724","14","1435","1709","0","0"
"100724","15","128","145","192","90"
"100724","16","7","13","15","7"
"100724","17","121","132","177","83"
"100724","21","40","57","41","32"
"100724","22","22","20","22","14"
"100724","23","18","37","19","18"
"100724","25","23","76","51","33"
"100724","26","2","6","4","3"
"100724","27","21","70","47","30"
"100724","28","191","278","284","155"
"100724","29","1626","1987","0","0"
"100760","1","276","380","0","0"
"100760","2","93","135","0","0"
"100760","3","183","245","0","0"
"100760","7","1","0","0","0"
"100760","14","277","380","0","0"
"100760","15","210","215","206","141"
"100760","16","99","94","91","64"
