unitid,"addr",admreq,affil,boardamt,calsys,"city",citysi,"cncesc",cnty,congdist,control,"countynm","fdgrmoyr",fice,"fwrkmoyr","gentele",geost,hloffer,iclevel,initcy,"instnm","intfic",lgrnt,obereg,oereg,pbalph,pbtfgi,pbtfgo,pbtfui,estmo,estyr,eve2yr,eve4yr,evepos,excntl,pbtfuo,period,pr2yr,prlib,procc,prprof,prtea,prtfg,prtfu,pubst,"race",roomamt,"sequen",sex,"stabbr","status",stcnty,sum2yr,sum4yr,sumpos,"system",type,updat,"zip",acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_chem,acc_nurs,acc_ort,regaccrd
"100654","P O BOX 285","2","12","1030","1","NORMAL","3","B01","89","5","1","MADISON","001879","1002","001875","2058597011","10","7","1","10","ALABAMA A & M UNIVERSITY","001002","1","5","3","10","1550","1690","880","5","1875","1","1","0","1","1772","7","0","1","1","0","1","0","0","10","1","680","","3","AL","5","10089","1","1","0","","2","10","35762","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","8"
"101189","5345 ATLANTA HIGHWAY","2","74","1460","4","MONTGOMERY","3","E01","101","2","2","MONTGOMERY","001944","1003","001942","2052725820","10","4","1","6","ALABAMA CHRISTIAN COLLEGE","001003","0","5","3","30","0","0","0","","1942","1","1","0","3","0","7","1","1","1","0","1","0","3040","10","1","1000","","3","AL","5","10101","1","1","0","","2","6","36193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101709","STATION 43","2","12","1100","1","MONTEVALLO","4","B01","117","7","1","SHELBY","051912","1004","091910","2056652521","10","7","1","6","UNIVERSITY OF MONTEVALLO","001004","0","5","3","800","1080","1800","1090","10","1896","0","0","0","1","1790","7","0","1","0","1","1","0","0","10","5","760","","3","AL","5","10117","0","1","1","","2","6","35115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","8"
"100724","915 SOUTH JACKSON STREET","2","12","0","2","MONTGOMERY","3","B01","101","2","1","MONTGOMERY","001931","1005","001920","2052934100","10","7","1","1","ALABAMA STATE UNIVERSITY","001005","0","5","3","40","975","1875","960","","1874","1","1","1","1","1920","7","0","1","0","0","1","0","0","10","1","1640","","3","AL","5","10101","1","1","1","","2","1","36195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"100760","P O BOX 699","2","12","0","2","ALEXANDER CY","1","E01","123","3","1","TALLAPOOSA","061967","1007","091965","2052346346","10","3","2","1","ALEXANDER CITY STATE JC","001007","0","5","3","60","0","0","450","5","1963","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10123","1","0","0","","3","1","35010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100812","","4","12","0","2","ATHENS","3","C01","83","5","1","LIMESTONE","001845","1008","001843","2052321802","10","4","1","1","ATHENS STATE COLLEGE","001008","0","5","3","80","0","0","1200","","1822","0","1","0","1","2400","0","0","1","0","0","1","0","0","10","5","525","","3","AL","5","10083","0","1","0","","2","12","35611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"100858","","3","12","0","2","AUBURN","1","A02","81","3","1","LEE","001860","1009","001859","2058264000","10","8","1","6","AUBURN UNIV MAIN CAMPUS","001009","1","5","3","110","1080","2490","1080","","1856","0","1","1","1","2490","0","0","1","0","1","1","0","0","10","5","1000","01","3","AL","6","10081","0","1","1","A","1","6","36849","1","","","","1","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","1","","1","","","","","","","","","","","1","1","","","1","1","","1","","","1","","1","","","1","","1","","","","","8"
"100937","800 8TH AVENUE WEST","2","71","1585","4","BIRMINGHAM","4","C01","73","6","2","JEFFERSON","001861","1012","001859","2053285250","10","6","1","1","BIRMINGHAM STHN COLLEGE","001012","0","5","3","140","0","0","0","","1856","0","1","1","3","0","5","0","1","0","0","1","0","5120","10","5","525","","3","AL","5","10073","0","1","1","","2","1","35254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","8"
"101514","P O 2216","2","12","0","2","DECATUR","3","E01","103","5","1","LIMESTONE","061967","1013","091965","2053533102","10","3","2","1","JOHN C CALHOUN ST CC","001013","0","5","3","350","0","0","450","5","1963","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10103","1","0","0","","3","13","35602","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","8"
"101143","P O BOX 1300","2","12","0","2","ENTERPRISE","1","E01","31","2","1","COFFEE","001966","1015","001965","2053933752","10","3","2","1","ENTERPRISE ST JR COLLEGE","001015","0","5","3","210","0","0","450","","1963","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10031","1","0","0","","3","1","36331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
