unitid,line,"lstudy","section",efrace15,efrace16,"xefrac15","xefrac16"
"100636","3","A","01","35215","5095",10,10
"100636","8","A","01","35215","5095",10,10
"100636","29","","","35215","5095",10,10
"100654","1","A","01","374","380",10,10
"100654","2","A","01","216","225",10,10
"100654","3","A","01","227","285",10,10
"100654","4","A","01","150","190",10,10
"100654","5","A","01","213","190",10,10
"100654","6","A","01","7","7",10,10
"100654","8","A","01","1187","1277",10,10
"100654","11","C","01","54","33",10,10
"100654","12","C","01","154","82",10,10
"100654","14","D","01","208","115",10,10
"100654","15","A","02","18","19",10,10
"100654","16","A","02","23","30",10,10
"100654","17","A","02","18","15",10,10
"100654","18","A","02","6","21",10,10
"100654","19","A","02","31","25",10,10
"100654","20","A","02","12","60",10,10
"100654","22","A","02","108","170",10,10
"100654","25","C","02","78","112",10,10
"100654","26","C","02","207","270",10,10
"100654","28","D","02","285","382",10,10
"100654","29","","","1788","1944",10,10
"100663","1","A","01","353","463",10,10
"100663","2","A","01","285","316",10,10
"100663","3","A","01","488","699",10,10
"100663","4","A","01","462","670",10,10
"100663","5","A","01","560","888",10,10
"100663","6","A","01","254","195",10,10
"100663","7","A","01","13","5",10,10
"100663","8","A","01","2415","3236",10,10
"100663","9","B","01","171","81",10,10
"100663","10","B","01","459","165",10,10
"100663","11","C","01","184","209",10,10
"100663","12","C","01","380","418",10,10
"100663","13","C","01","57","111",10,10
"100663","14","D","01","1251","984",10,10
"100663","15","A","02","98","115",10,10
"100663","16","A","02","180","239",10,10
"100663","17","A","02","246","387",10,10
"100663","18","A","02","344","373",10,10
"100663","19","A","02","635","634",10,10
"100663","20","A","02","409","394",10,10
"100663","21","A","02","76","83",10,10
"100663","22","A","02","1988","2225",10,10
"100663","25","C","02","59","123",10,10
"100663","26","C","02","262","502",10,10
"100663","27","C","02","130","304",10,10
"100663","28","D","02","451","929",10,10
"100663","29","","","6105","7374",10,10
"100672","1","A","01","128","8",10,10
"100672","2","A","01","30","4",10,10
"100672","3","A","01","16","2",10,10
"100672","8","A","01","174","14",10,10
"100672","15","A","02","24","1",10,10
"100672","16","A","02","15","",10,10
"100672","17","A","02","6","",10,10
"100672","22","A","02","45","1",10,10
"100672","29","","","219","15",10,10
"100681","1","A","01","2","4",21,21
"100681","3","A","01","1","4",21,21
"100681","8","A","01","3","8",21,21
"100681","29","","","3","8",21,21
"100690","4","A","01","10","",10,10
"100690","5","A","01","10","",10,10
"100690","8","A","01","20","0",10,10
"100690","10","B","01","20","",10,10
"100690","11","C","01","17","",10,10
"100690","14","D","01","37","",10,10
"100690","18","A","02","5","",10,10
"100690","19","A","02","5","3",10,10
"100690","22","A","02","10","3",10,10
"100690","23","B","02","30","2",10,10
"100690","25","C","02","17","3",10,10
"100690","28","D","02","47","5",,
"100690","29","","","114","8",,
"100706","1","A","01","240","196",10,10
"100706","2","A","01","197","180",10,10
"100706","3","A","01","231","236",10,10
"100706","4","A","01","300","288",10,10
"100706","5","A","01","341","332",10,10
"100706","6","A","01","0","3",10,10
"100706","8","A","01","1309","1235",10,10
"100706","10","B","01","35","14",10,10
"100706","11","C","01","35","20",10,10
"100706","12","C","01","218","110",10,10
"100706","13","C","01","33","39",10,10
"100706","14","D","01","321","183",10,10
"100706","15","A","02","78","93",10,10
"100706","16","A","02","252","226",10,10
"100706","17","A","02","177","176",10,10
"100706","18","A","02","203","199",10,10
"100706","19","A","02","335","253",10,10
"100706","20","A","02","7","7",10,10
"100706","21","A","02","71","48",10,10
"100706","22","A","02","1123","1002",10,10
"100706","25","C","02","86","19",10,10
"100706","26","C","02","359","188",10,10
"100706","27","C","02","371","328",10,10
"100706","28","D","02","816","535",10,10
"100706","29","","","3569","2955",10,10
"100724","1","A","01","371","490",10,10
"100724","2","A","01","246","300",10,10
"100724","3","A","01","205","294",10,10
"100724","4","A","01","161","219",10,10
"100724","5","A","01","174","235",10,10
"100724","7","A","01","16","11",10,10
"100724","8","A","01","1173","1549",10,10
"100724","11","C","01","1","1",10,10
"100724","12","C","01","11","19",10,10
"100724","13","C","01","10","26",10,10
"100724","14","D","01","22","46",10,10
"100724","15","A","02","29","36",10,10
"100724","16","A","02","29","36",10,10
"100724","17","A","02","27","36",10,10
"100724","18","A","02","18","49",10,10
"100724","19","A","02","70","63",10,10
"100724","21","A","02","43","98",10,10
"100724","22","A","02","216","318",10,10
"100724","25","C","02","1","4",10,10
"100724","26","C","02","41","87",10,10
"100724","27","C","02","43","103",10,10
"100724","28","D","02","85","194",10,10
"100724","29","","","1496","2107",10,10
"100751","1","A","01","1576","1715",10,10
"100751","2","A","01","1093","1098",10,10
"100751","3","A","01","1399","1283",10,10
"100751","4","A","01","1150","1092",10,10
"100751","5","A","01","1160","1156",10,10
"100751","8","A","01","6378","6344",10,10
"100751","9","B","01","82","44",10,10
"100751","10","B","01","274","136",10,10
"100751","11","C","01","161","117",10,10
"100751","12","C","01","526","425",10,10
"100751","14","D","01","1043","722",10,10
"100751","15","A","02","16","17",10,10
"100751","16","A","02","122","142",10,10
"100751","17","A","02","102","87",10,10
"100751","18","A","02","139","118",10,10
"100751","19","A","02","343","255",10,10
"100751","22","A","02","722","619",10,10
"100751","23","B","02","","1",10,10
"100751","25","C","02","62","84",10,10
"100751","26","C","02","515","676",10,10
"100751","28","D","02","577","761",10,10
"100751","29","","","8720","8446",10,10
"100760","1","A","01","95","117",10,10
"100760","2","A","01","79","89",10,10
"100760","3","A","01","77","94",10,10
"100760","7","A","01","2","3",10,10
"100760","8","A","01","253","303",10,10
"100760","15","A","02","29","48",10,10
"100760","16","A","02","59","112",10,10
"100760","17","A","02","80","87",10,10
"100760","21","A","02","30","30",10,10
"100760","22","A","02","198","277",10,10
"100760","29","","","451","580",10,10
"100779","11","C","01","3","2",10,10
"100779","12","C","01","12","12",10,10
"100779","14","D","01","15","14",10,10
"100779","25","C","02","1","1",10,10
"100779","26","C","02","7","7",10,10
"100779","28","D","02","8","8",10,10
"100779","29","","","23","22",10,10
"100812","4","A","01","158","296",10,10
"100812","5","A","01","96","213",10,10
"100812","6","A","01","5","7",10,10
"100812","7","A","01","2","4",10,10
"100812","8","A","01","261","520",10,10
"100812","18","A","02","307","298",10,10
"100812","19","A","02","188","145",10,10
"100812","20","A","02","30","26",10,10
"100812","21","A","02","52","63",10,10
"100812","22","A","02","577","532",10,10
"100812","29","","","838","1052",10,10
"100821","1","A","01","227","34",10,10
"100821","3","A","01","40","3",10,10
"100821","7","A","01","23","",10,10
"100821","8","A","01","290","37",10,10
"100821","15","A","02","23","1",10,10
"100821","17","A","02","4","1",10,10
"100821","21","A","02","51","43",10,10
"100821","22","A","02","78","45",10,10
"100821","29","","","368","82",10,10
"100830","1","A","01","261","347",10,10
"100830","2","A","01","409","532",10,10
"100830","3","A","01","307","410",10,10
"100830","4","A","01","282","366",10,10
"100830","5","A","01","283","457",10,10
"100830","6","A","01","36","68",10,10
"100830","7","A","01","8","12",10,10
"100830","8","A","01","1586","2192",10,10
"100830","11","C","01","27","44",10,10
"100830","12","C","01","79","82",10,10
"100830","13","C","01","1","11",10,10
"100830","14","D","01","107","137",10,10
"100830","15","A","02","56","76",10,10
"100830","16","A","02","102","95",10,10
"100830","17","A","02","58","105",10,10
"100830","18","A","02","56","81",10,10
"100830","19","A","02","71","96",10,10
"100830","20","A","02","52","97",10,10
"100830","21","A","02","39","46",10,10
"100830","22","A","02","434","596",10,10
"100830","25","C","02","37","93",10,10
"100830","26","C","02","62","150",10,10
"100830","27","C","02","16","43",10,10
"100830","28","D","02","115","286",10,10
"100830","29","","","2242","3211",10,10
"100858","1","A","01","1625","1382",20,20
"100858","2","A","01","779","687",20,20
"100858","3","A","01","2175","1501",20,20
"100858","4","A","01","1982","1509",20,20
"100858","5","A","01","2349","1619",20,20
"100858","6","A","01","31","22",20,20
"100858","7","A","01","22","14",20,20
"100858","8","A","01","8963","6734",20,20
"100858","9","B","01","40","48",20,20
"100858","10","B","01","159","101",20,20
"100858","11","C","01","104","84",20,20
"100858","12","C","01","353","218",20,20
"100858","13","C","01","3","1",20,20
"100858","14","D","01","659","452",20,20
"100858","15","A","02","48","45",20,20
"100858","16","A","02","67","37",20,20
"100858","17","A","02","181","98",20,20
"100858","18","A","02","162","89",20,20
"100858","19","A","02","319","187",20,20
"100858","20","A","02","36","55",20,20
"100858","21","A","02","30","42",20,20
"100858","22","A","02","843","553",20,20
"100858","24","B","02","0","1",20,20
"100858","25","C","02","71","33",20,20
"100858","26","C","02","612","429",20,20
"100858","27","C","02","7","6",20,20
"100858","28","D","02","690","469",20,20
"100858","29","","","11155","8208",20,20
"100885","1","A","01","29","27",21,21
"100885","2","A","01","17","22",21,21
"100885","3","A","01","20","21",21,21
"100885","4","A","01","4","6",21,21
"100885","5","A","01","19","21",21,21
"100885","7","A","01","1","0",21,21
"100885","8","A","01","90","97",21,21
"100885","15","A","02","1","0",21,21
"100885","16","A","02","1","1",21,21
"100885","17","A","02","0","1",21,21
"100885","18","A","02","0","1",21,21
"100885","19","A","02","3","2",21,21
"100885","21","A","02","18","38",21,21
"100885","22","A","02","23","43",21,21
"100885","29","","","113","140",21,21
"100919","1","A","01","67","14",10,10
"100919","2","A","01","38","55",10,10
"100919","3","A","01","309","297",10,10
"100919","8","A","01","414","366",10,10
"100919","15","A","02","31","26",10,10
"100919","16","A","02","80","36",10,10
"100919","17","A","02","482","143",10,10
"100919","22","A","02","593","205",10,10
"100919","29","","","1007","571",10,10
"100928","1","A","01","15","24",21,21
"100928","2","A","01","22","39",21,21
"100928","3","A","01","21","31",21,21
"100928","4","A","01","11","11",21,21
"100928","5","A","01","6","1",21,21
"100928","8","A","01","75","106",21,21
"100928","15","A","02","2","3",21,21
"100928","16","A","02","2","4",21,21
"100928","17","A","02","2","3",21,21
"100928","18","A","02","3","2",21,21
"100928","19","A","02","1","0",21,21
"100928","22","A","02","10","12",21,21
"100928","29","","","85","118",21,21
"100937","1","A","01","153","156",10,10
"100937","2","A","01","59","46",10,10
"100937","3","A","01","154","186",10,10
"100937","4","A","01","170","186",10,10
"100937","5","A","01","161","163",10,10
"100937","6","A","01","2","5",10,10
"100937","7","A","01","0","12",10,10
"100937","8","A","01","699","754",10,10
"100937","11","C","01","4","3",10,10
"100937","12","C","01","17","16",10,10
"100937","14","D","01","21","19",10,10
"100937","15","A","02","0","14",10,10
"100937","16","A","02","13","16",10,10
"100937","17","A","02","9","21",10,10
"100937","18","A","02","4","15",10,10
"100937","19","A","02","15","31",10,10
"100937","20","A","02","10","19",10,10
"100937","21","A","02","2","31",10,10
"100937","22","A","02","53","147",10,10
"100937","25","C","02","9","6",10,10
"100937","26","C","02","10","11",10,10
"100937","28","D","02","19","17",10,10
"100937","29","","","792","937",10,10
"100946","1","A","01","20","96",21,21
"100946","2","A","01","6","21",21,21
"100946","3","A","01","22","44",21,21
"100946","4","A","01","9","39",21,21
"100946","5","A","01","14","63",21,21
"100946","8","A","01","71","263",21,21
"100946","15","A","02","1","0",21,21
"100946","16","A","02","0","4",21,21
"100946","17","A","02","0","5",21,21
"100946","18","A","02","0","5",21,21
"100946","19","A","02","4","9",21,21
"100946","20","A","02","10","17",21,21
"100946","22","A","02","15","40",21,21
"100946","29","","","86","303",21,21
"100955","1","A","01","15","49",10,10
"100955","2","A","01","8","15",10,10
"100955","3","A","01","19","50",10,10
"100955","7","A","01","3","8",10,10
"100955","8","A","01","45","122",10,10
"100955","21","A","02","0","3",10,10
"100955","22","A","02","0","3",10,10
"100955","29","","","45","125",10,10
"100964","1","A","01","89","100",10,10
"100964","2","A","01","53","91",10,10
"100964","3","A","01","60","94",10,10
"100964","7","A","01","0","2",10,10
"100964","8","A","01","202","287",10,10
"100964","15","A","02","11","32",10,10
"100964","16","A","02","14","44",10,10
"100964","17","A","02","17","32",10,10
"100964","21","A","02","12","29",10,10
"100964","22","A","02","54","137",10,10
"100964","29","","","256","424",10,10
"100973","1","A","01","48","58",10,10
"100973","3","A","01","37","77",10,10
"100973","8","A","01","85","135",10,10
"100973","15","A","02","1","4",10,10
"100973","17","A","02","6","29",10,10
"100973","22","A","02","7","33",10,10
"100973","29","","","92","168",10,10
"100991","1","A","01","36","42",10,10
"100991","2","A","01","4","19",10,10
"100991","3","A","01","74","58",10,10
"100991","7","A","01","16","14",10,10
"100991","8","A","01","130","133",10,10
"100991","15","A","02","19","9",10,10
"100991","17","A","02","16","42",10,10
"100991","21","A","02","5","6",10,10
"100991","22","A","02","40","57",10,10
"100991","29","","","170","190",10,10
"101028","1","A","01","215","294",10,10
"101028","2","A","01","68","100",10,10
"101028","7","A","01","10","9",10,10
"101028","8","A","01","293","403",10,10
"101028","15","A","02","88","167",10,10
"101028","16","A","02","97","269",10,10
"101028","21","A","02","61","94",10,10
"101028","22","A","02","246","530",10,10
"101028","29","","","539","933",10,10
"101037","1","A","01","51","49",10,10
