unitid,section,"lstudy",line,efrace15,efrace16
"100636","1","A","3","31852","5185"
"100636","1","A","8","31852","5185"
"100636","0","","29","31852","5185"
"100654","1","A","1","480","553"
"100654","1","A","2","310","296"
"100654","1","A","3","272","340"
"100654","1","A","4","202","219"
"100654","1","A","5","163","220"
"100654","1","A","6","1","3"
"100654","1","A","8","1428","1631"
"100654","1","C","11","36","31"
"100654","1","C","12","106","100"
"100654","1","D","14","142","131"
"100654","2","A","15","24","50"
"100654","2","A","16","25","55"
"100654","2","A","17","16","26"
"100654","2","A","18","15","13"
"100654","2","A","19","21","26"
"100654","2","A","20","4","20"
"100654","2","A","22","105","190"
"100654","2","C","25","80","155"
"100654","2","C","26","247","392"
"100654","2","D","28","327","547"
"100654","0","","29","2002","2499"
"100663","1","A","1","403","517"
"100663","1","A","2","340","383"
"100663","1","A","3","477","757"
"100663","1","A","4","510","642"
"100663","1","A","5","572","881"
"100663","1","A","6","277","206"
"100663","1","A","7","9","6"
"100663","1","A","8","2588","3392"
"100663","1","B","9","188","79"
"100663","1","B","10","465","190"
"100663","1","C","11","203","237"
"100663","1","C","12","425","539"
"100663","1","C","13","61","84"
"100663","1","D","14","1342","1129"
"100663","2","A","15","140","101"
"100663","2","A","16","204","275"
"100663","2","A","17","286","422"
"100663","2","A","18","346","451"
"100663","2","A","19","593","704"
"100663","2","A","20","486","459"
"100663","2","A","21","75","94"
"100663","2","A","22","2130","2506"
"100663","2","C","25","60","154"
"100663","2","C","26","313","615"
"100663","2","C","27","147","316"
"100663","2","D","28","520","1085"
"100663","0","","29","6580","8112"
"100672","1","A","1","140","14"
"100672","1","A","2","80","12"
"100672","1","A","3","63","13"
"100672","1","A","8","283","39"
"100672","2","A","15","44","0"
"100672","2","A","16","73","6"
"100672","2","A","17","80","5"
"100672","2","A","22","197","11"
"100672","0","","29","480","50"
"100681","1","A","1","7","3"
"100681","1","A","3","11","2"
"100681","1","A","8","18","5"
"100681","2","A","21","2","1"
"100681","2","A","22","2","1"
"100681","0","","29","20","6"
"100690","1","A","6","6",""
"100690","1","A","8","6",""
"100690","1","C","11","9",""
"100690","1","C","12","6",""
"100690","1","D","14","15",""
"100690","2","A","16","","2"
"100690","2","A","17","","1"
"100690","2","A","18","26","1"
"100690","2","A","22","26","4"
"100690","2","C","25","15",""
"100690","2","C","26","9","1"
"100690","2","D","28","24","1"
"100690","0","","29","71","5"
"100706","1","A","1","244","211"
"100706","1","A","2","207","173"
"100706","1","A","3","280","236"
"100706","1","A","4","267","240"
"100706","1","A","5","391","369"
"100706","1","A","6","1","0"
"100706","1","A","7","9","12"
"100706","1","A","8","1399","1241"
"100706","1","B","10","30","14"
"100706","1","C","11","104","56"
"100706","1","C","12","228","112"
"100706","1","D","14","362","182"
"100706","2","A","15","182","244"
"100706","2","A","16","245","276"
"100706","2","A","17","174","183"
"100706","2","A","18","205","211"
"100706","2","A","19","422","310"
"100706","2","A","20","9","2"
"100706","2","A","21","550","460"
"100706","2","A","22","1787","1686"
"100706","2","C","25","214","60"
"100706","2","C","26","415","146"
"100706","2","C","27","245","345"
"100706","2","D","28","874","551"
"100706","0","","29","4422","3660"
"100724","1","A","1","574","703"
"100724","1","A","2","455","528"
"100724","1","A","3","233","380"
"100724","1","A","4","129","216"
"100724","1","A","5","125","206"
"100724","1","A","6","3","2"
"100724","1","A","8","1519","2035"
"100724","1","C","11","0","3"
"100724","1","C","12","22","52"
"100724","1","C","13","1","15"
"100724","1","D","14","23","70"
"100724","2","A","15","23","21"
