UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,TENURSYS,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,FAXTELE,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID 
100636,"Community College of the Air Force","100 S Turner Blvd","Montgomery","AL","36114-0011", 1, 0,"Timothy W. Albrecht","Commandant","3346495000","-1","01230800",3,"www.au.af.mil/au/ccaf/"," "," "," ",4,2,1,4,1,2,40,1,2,-1,2,2,12,0,"A ",-2,-2,"-2",1,1,2,6,1,"CCAF",4,8,1,-1,0,1,0,40,-1,2,-1,33860,1,388,-2,1,"Air University","3346495100",1101,"Montgomery County",102,-86.244501,32.404904,-1
100654,"Alabama A & M University","4900 Meridian St","Normal","AL","35762", 1, 5,"Dr. Andrew Hugine, Jr.","President","2563725000","636001109","00100200",1,"www.aamu.edu/","www.aamu.edu/admissions/","www.aamu.edu/financial_aid/","www.aamu.edu/admissions/apply_online.aspx",1,1,1,9,1,1,12,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"AAMU",2,18,13,18,9,4,14,16,1,1,3,26620,1,290,-2,2,"-2","2563725030",1089,"Madison County",105,-86.573520,34.784220,161
100663,"University of Alabama at Birmingham","Administration Bldg Suite 1070","Birmingham","AL","35294-0110", 1, 5,"Carol Z. Garrison","President","2059344011","636005396","00105200",1,"www.uab.edu","main.uab.edu/Sites/apply/","main.uab.edu/Sites/apply/financial_aid/","https://studentaffairs.sass.uab.edu/admissions/application/",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,17,8,5,15,15,1,2,4,13820,1,142,-2,1,"The University of Alabama System","2059757114",1073,"Jefferson County",107,-86.804460,33.500960,149
100690,"Amridge University","1200 Taylor Rd","Montgomery","AL","36117-3553", 1, 5,"Michael Turner","President","33438770007528","237034324","02503400",1,"www.amridgeuniversity.edu","www.amridgeuniversity.edu/au_admissions.html","www.amridgeuniversity.edu/au_financialaid.html","https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Southern Christian University |Regions University",2,21,11,13,6,5,6,51,2,2,1,33860,1,388,-2,2,"-2","3343873878",1101,"Montgomery County",103,-86.171548,32.365021,186
100706,"University of Alabama at Huntsville","301 Sparkman Dr","Huntsville","AL","35899", 1, 5,"David B. Williams","President","2568246120","630520830","00105500",1,"www.uah.edu","admissions.uah.edu/","finaid.uah.edu/","register.uah.edu",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"UAHuntsville |UAH |University of Alabama Huntsville |Unversity of Alabama at Huntsville",2,15,14,17,8,4,12,16,1,2,3,26620,1,290,-2,1,"The University of Alabama System"," ",1089,"Madison County",105,-86.643936,34.723896,149
100724,"Alabama State University","915 S Jackson Street","Montgomery","AL","36101-0271", 1, 5,"William H. Harris","President","3342294400","636001101","00100500",1,"www.alasu.edu","www.alasu.edu/admissions","www.alasu.edu/finaid/","https://hornetsweb.alasu.edu",1,1,1,9,1,1,11,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,10,12,9,4,13,21,1,2,3,33860,1,388,-2,2,"-2","3348346861",1101,"Montgomery County",103,-86.296158,32.366230,160
100733,"University of Alabama System Office","401 Queen City Ave","Tuscaloosa","AL","35401", 1, 5,"Malcolm Portera","Chancellor","2053489731","-1","001055A1",2,"www.uasystem.ua.edu"," "," "," ",0,1,1,9,1,1,11,1,2,2,-2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,-2," ",-2,-3,-3,-3,-3,-3,-3,-3,2,2,-2,46220,1,-2,-2,1,"The University of Alabama System","2053485206",1125,"Tuscaloosa County",107,-87.560429,33.213047,-2
100751,"The University of Alabama","739 University Blvd","Tuscaloosa","AL","35487-0166", 1, 5,"Robert E. Witt","President","2053486010","636001138","00105100",1,"www.ua.edu/","gobama.ua.edu","financialaid.ua.edu","apply.ua.edu",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,15,10,4,16,15,1,2,5,46220,1,-2,-2,1,"The University of Alabama System","2053487208",1125,"Tuscaloosa County",107,-87.542340,33.208811,151
100760,"Central Alabama Community College","1675 Cherokee Rd","Alexander City","AL","35010", 1, 5,"Stephen Franks","President","2562346346","631022757","00100700",1,"www.cacc.edu","www.cacc.edu/index.php?submenu=Admissions&src=gendocs&ref=Admissions&category=Admissions","www.cacc.edu/index.php?submenu=Financial_Aid&src=gendocs&ref=Financial%20Aid&category=Financial%20Aid"," ",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,2,1,-1,3,1,2,40,1,2,2,10760,2,388,-2,1,"Alabama College System","2562340384",1123,"Tallapoosa County",103,-85.947875,32.924383,101
100812,"Athens State University","300 N Beaty St","Athens","AL","35611", 1, 5,"Robert Glenn","President","2562338100","630701340","00100800",1,"www.athens.edu","www.athens.edu","www.athens.edu","www.athens.edu",1,1,1,5,1,2,30,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,12,-1,5,2,9,32,1,2,2,26620,1,290,-2,1,"Alabama College System","2562338118",1083,"Limestone County",105,-86.967621,34.805512,188
