Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Hollis,1,240,study-bedroom,1,S,1
Hollis,2,240,study-bedroom,1,S,2
Hollis,3,260,study-bedroom,1,S,3
Hollis,4,260,study-bedroom,1,S,4
Hollis,5,240,study-bedroom,2,S,5
Hollis,6,240,study-bedroom,2,S,6
Hollis,7,260,study-bedroom,2,S,7
Hollis,8,260,study-bedroom,2,S,8
Hollis,9,240,study-bedroom,3,S,9
Hollis,10,240,study-bedroom,3,S,10
Hollis,11,260,study-bedroom,3,S,11
Hollis,12,260,study-bedroom,3,S,12
Hollis,13,240,study-bedroom,4,S,13
Hollis,14,220,study-bedroom,4,S,14
Hollis,15,260,study-bedroom,4,S,15
Hollis,16,220,study-bedroom,4,S,16
Hollis,17,240,study-bedroom,1,N,17
Hollis,18,240,study-bedroom,1,N,18
Hollis,19,260,study-bedroom,1,N,19
Hollis,20,260,study-bedroom,1,N,20
Hollis,21,240,study-bedroom,2,N,21
Hollis,22,,,2,N,22
Hollis,23,260,study-bedroom,2,N,23
Hollis,24,,,2,N,24
Hollis,25,240,study-bedroom,3,N,25
Hollis,26,240,study-bedroom,3,N,26
Hollis,27,260,study-bedroom,3,N,27
Hollis,28,260,study-bedroom,3,N,28
Hollis,29,220,study-bedroom,4,N,29
Hollis,30,220,study-bedroom,4,N,30
Hollis,31,300,1 single,4,N,31
Hollis,32,280,1 single,4,N,32
