Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Thayer,1,120,1 double,1,M,1
Thayer,2,100,1 double,1,M,2
Thayer,3,120,1 double,1,M,3
Thayer,4,100,1 double,1,M,4
Thayer,5,140,1 double,2,M,5
Thayer,6,120,1 double,2,M,6
Thayer,7,140,1 double,2,M,7
Thayer,8,120,1 double,2,M,8
Thayer,9,,,3,M,9
Thayer,10,120,1 double,3,M,10
Thayer,11,120,1 double,3,M,11
Thayer,12,120,1 double,3,M,12
Thayer,13,100,1 double,4,M,13
Thayer,14,100,1 double,4,M,14
Thayer,15,100,1 double,4,M,15
Thayer,16,100,1 double,4,M,16
Thayer,17,80,1 double,5,M,17
Thayer,18,80,1 double,5,M,18
Thayer,19,80,1 double,5,M,19
Thayer,20,80,1 double,5,M,20
Thayer,21,240,2 single,1,S,21
Thayer,22,200,2 single,1,S,22
Thayer,23,360,1 single,1,S,23
Thayer,24,320,1 single,1,S,24
Thayer,25,140,1 double,1,S,25
Thayer,26,100,1 double,1,S,26
Thayer,27,240,2 single,2,S,27
Thayer,28,220,2 single,2,S,28
Thayer,29,,,2,S,29
Thayer,31,140,1 double,2,S,31
Thayer,32,200,2 single,2,S,32
Thayer,33,220,2 single,3,S,33
Thayer,34,200,2 single,3,S,34
Thayer,35,360,1 single,3,S,35
Thayer,36,340,1 single,3,S,36
Thayer,37,120,1 double,3,S,37
Thayer,38,120,1 double,3,S,38
Thayer,39,200,2 single,4,S,39
Thayer,40,180,2 single,4,S,40
Thayer,41,320,1 single,4,S,41
Thayer,42,300,1 single,4,S,42
Thayer,43,100,1 double,4,S,43
Thayer,44,100,1 double,4,S,44
Thayer,45,200,2 single,1,N,45
Thayer,46,180,2 single,1,N,46
Thayer,47,340,1 single,1,N,47
Thayer,48,320,1 single,1,N,48
Thayer,49,120,1 double,1,N,49
Thayer,50,100,1 double,1,N,50
Thayer,51,220,2 single,2,N,51
Thayer,52,200,2 single,2,N,52
Thayer,54,360,1 single,2,N,54
Thayer,55,220,2 single,2,N,55
Thayer,56,120,1 double,2,N,56
Thayer,57,200,2 single,3,N,57
Thayer,58,180,2 single,3,N,58
Thayer,59,,,3,N,59
Thayer,60,340,1 single,3,N,60
Thayer,61,120,1 double,3,N,61
Thayer,62,120,1 double,3,N,62
Thayer,63,180,2 single,4,N,63
Thayer,64,160,2 single,4,N,64
Thayer,65,320,1 single,4,N,65
Thayer,66,300,1 single,4,N,66
Thayer,67,100,1 double,4,N,67
Thayer,68,100,1 double,4,N,68
