Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
40 Quincy Street,11,120,double study-bedroom,1,M,11
41 Quincy Street,12,120,double study-bedroom,1,M,12
42 Quincy Street,13,100,1 double,1,M,13
43 Quincy Street,14,,,1,M,14
43 Quincy Street,15,120,double study-bedroom,1,M,15
44 Quincy Street,21,120,double study-bedroom,2,M,21
45 Quincy Street,22,120,double study-bedroom,2,M,22
46 Quincy Street,23,120,double study-bedroom,2,M,23
47 Quincy Street,31,100,study-bedroom,3,M,31
48 Quincy Street,32,100,study-bedroom,3,M,32
49 Quincy Street,33,100,study-bedroom,3,M,33
50 Quincy Street,34,100,study-bedroom,,,34
