Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Stoughton,1,240,study bedroom,1,W,1
Stoughton,2,220,study-bedroom,1,W,2
Stoughton,3,260,study-bedroom,1,W,3
Stoughton,4,240,study bedroom,1,W,4
Stoughton,5,260,study-bedroom,2,W,5
Stoughton,6,240,study bedroom,2,W,6
Stoughton,7,,,2,W,7
Stoughton,8,260,study-bedroom,2,W,8
Stoughton,9,260,study-bedroom,3,W,9
Stoughton,10,240,study bedroom,3,W,10
Stoughton,11,280,study-bedroom,3,W,11
Stoughton,12,260,study-bedroom,3,W,12
Stoughton,13,240,study bedroom,4,W,13
Stoughton,14,220,study-bedroom,4,W,14
Stoughton,15,260,study-bedroom,4,W,15
Stoughton,16,240,study bedroom,4,W,16
Stoughton,17,240,study bedroom,1,E,17
Stoughton,18,220,study-bedroom,1,E,18
Stoughton,19,260,study-bedroom,1,E,19
Stoughton,20,240,study bedroom,1,E,20
Stoughton,21,260,study-bedroom,2,E,21
Stoughton,22,240,study bedroom,2,E,22
Stoughton,23,280,study-bedroom,2,E,23
Stoughton,24,260,study-bedroom,2,E,24
Stoughton,25,260,study-bedroom,3,E,25
Stoughton,26,240,study bedroom,3,E,26
Stoughton,27,280,study-bedroom,3,E,27
Stoughton,28,260,study-bedroom,3,E,28
Stoughton,29,220,study-bedroom,4,E,29
Stoughton,30,200,study-bedroom,4,E,30
Stoughton,31,340,1 single,4,E,31
Stoughton,32,320,1 single,4,E,32
