Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Apley Court,1,,,1,M,1
Apley Court,2,180,1 double,1,M,2
Apley Court,3,320,1 single,1,M,3
Apley Court,4,180,1 double,1,M,4
Apley Court,21,220,1 double,2,M,21
Apley Court,22,200,1 double,2,M,22
Apley Court,23,220,1 double,2,M,23
Apley Court,24,200,1 double,2,M,24
Apley Court,31,220,1 double,3,M,31
Apley Court,32,200,1 double,3,M,32
Apley Court,33,220,1 double,3,M,33
Apley Court,34,200,1 double,3,M,34
Apley Court,41,220,1 double,4,M,41
Apley Court,42,200,1 double,4,M,42
Apley Court,43,220,1 double,4,M,43
Apley Court,44,200,1 double,4,M,44
Apley Court,51,180,1 double,5,M,51
Apley Court,52,160,1 double,5,M,52
Apley Court,53,180,1 double,5,M,53
Apley Court,54,160,1 double,5,M,54
