Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
Farlow House,1,140,double study-bedroom,1,E,1
Farlow House,3,200,triple,1,E,3
Farlow House,4,160,double study-bedroom,1,E,4
Farlow House,5,140,1 double,1,E,5
Farlow House,21,140,double study-bedroom,2,W,21
Farlow House,22,60,study-bedroom,2,W,22
Farlow House,23,160,double study-bedroom,2,W,23
Farlow House,25,,,2,W,25
Farlow House,26,100,1 double,2,E,26
Farlow House,27,80,study-bedroom,2,E,27
Farlow House,28,60,study-bedroom,2,E,28
Farlow House,31,120,double study-bedroom,3,W,31
Farlow House,33,100,1 triple,3,W,33
Farlow House,34,100,double study-bedroom,3,E,34
Farlow House,35,80,study-bedroom,3,E,35
Farlow House,36,100,study-bedroom,3,E,36
