Dorm,Room No.,Price,Bedrooms,Floor,Stairwell,Suite
The Walker House,11,120,double study-bedroom,1,M,11
The Walker House,12,120,double study-bedroom,1,M,12
The Walker House,13,100,1 double,1,M,13
The Walker House,14,,,1,M,14
The Walker House,15,120,double study-bedroom,1,M,15
The Walker House,21,120,double study-bedroom,2,M,21
The Walker House,22,120,double study-bedroom,2,M,22
The Walker House,23,120,double study-bedroom,2,M,23
The Walker House,31,100,study-bedroom,3,M,31
The Walker House,32,100,study-bedroom,3,M,32
The Walker House,33,100,study-bedroom,3,M,33
The Walker House,34,100,study-bedroom,,,34
